ticker,close,rsi,roc_12m_pct
UTLSOLAR,423.85,69.8,
GMMPFAUDLR,1048.25,83.7,-19.8
GRWRHITECH,7088.5,53.0,149.0
GOKEX,783.65,44.5,11.7
GOKULAGRO,231.65,59.5,47.5
GREAVESCOT,194.37,36.0,-8.4
GAEL,172.81,57.9,67.3
GNFC,568.95,69.8,17.0
HAPPSTMNDS,420.2,67.8,-26.4
HCG,714.3,63.2,6.4
HEMIPROP,132.34,38.2,-2.0
HERITGFOOD,358.0,66.0,-23.3
HCC,19.82,29.7,-22.3
IFBIND,1383.6,55.7,8.0
IIFLCAPS,335.2,44.4,11.4
INOXINDIA,1943.0,51.9,74.7
INDIAGLYCO,1061.1,40.5,25.4
INDIGOPNTS,1148.7,64.3,4.8
ICIL,378.4,36.5,57.8
INOXGREEN,187.07,51.7,17.9
IONEXCHANG,372.95,36.6,-16.5
JKPAPER,379.9,48.7,9.1
JAIBALAJI,70.6,63.6,-32.2
JSFB,577.75,62.6,25.5
JAYNECOIND,88.93,48.0,48.2
JLHL,315.75,54.3,11.4
JUSTDIAL,681.0,49.7,-18.1
JYOTHYLAB,199.36,45.6,-38.4
KNRCON,132.43,53.4,-34.3
KPIGREEN,319.0,15.9,-38.0
KRN,1468.3,77.4,62.9
KSB,801.25,36.0,1.9
KANSAINER,204.75,48.9,-11.0
KTKBANK,309.65,65.1,84.9
KSCL,779.95,38.7,-28.6
KIRLOSBROS,1905.5,51.0,1.8
KIRLPNU,1524.7,45.4,17.1
LXCHEM,176.05,51.0,-3.3
IXIGO,174.03,38.7,-31.0
LLOYDSENGG,93.53,56.6,38.5
LLOYDSENT,76.49,44.9,7.0
LUMAXTECH,2025.7,78.0,94.8
MSTCLTD,623.4,54.4,34.8
MTARTECH,7056.0,58.1,381.9
MANORAMA,1737.1,64.2,28.7
MARKSANS,333.0,76.3,78.3
MASTEK,1832.2,57.5,-26.4
MEDPLUS,668.95,27.3,-19.3
METROPOLIS,545.5,41.5,4.7
MIDHANI,416.7,50.2,7.9
BECTORFOOD,240.37,72.5,-15.7
NEOGEN,2204.9,60.3,52.5
NESCO,1038.0,40.8,-23.5
NAZARA,355.9,78.3,0.2
OPTIEMUS,561.1,47.4,-1.2
ACI,503.3,38.6,-19.2
IDEA,14.11,65.2,118.1
PCJEWELLER,9.64,50.9,-28.1
YESBANK,22.67,41.1,21.1
CCAVENUE,15.43,39.6,2.7
JPPOWER,17.39,44.9,-7.9
SOUTHBANK,45.74,48.9,56.8
NSLNISP,44.5,54.3,24.1
UCOBANK,26.0,44.6,-6.7
UJJIVANSFB,72.47,63.6,67.9
IFCI,76.94,55.9,45.8
RTNINDIA,30.05,36.0,-40.6
MAHABANK,80.12,47.8,48.3
TTML,38.59,36.5,-34.7
IDFCFIRSTB,85.69,61.8,24.4
RBA,99.08,78.7,26.5
OLAELEC,38.73,45.0,-2.7
NIVABUPA,82.72,35.5,3.9
GMRAIRPORT,101.51,31.9,15.0
IDBI,82.45,44.1,-6.7
NBCC,89.0,29.0,-16.0
PNB,118.0,69.0,13.9
J&KBANK,155.48,41.7,51.5
