ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
ANUP,hard_stop_20pct,2022-01-14,579.43,2022-01-24,463.55,105,7,-20.0,-12167.4
GVT&D,hard_stop_20pct,2022-01-17,139.18,2022-02-11,106.88,439,19,-23.21,-14179.7
MFSL,hard_stop_20pct,2022-01-12,1066.0,2022-02-15,834.0,56,24,-21.76,-12992.0
NEWGEN,hard_stop_20pct,2022-01-11,316.57,2022-02-23,249.79,190,31,-21.09,-12688.2
SPARC,hard_stop_20pct,2022-01-10,332.0,2022-02-25,261.9,180,34,-21.11,-12618.0
UPL,hard_stop_20pct,2022-01-11,782.2,2022-02-25,624.58,77,33,-20.15,-12136.74
AVANTIFEED,hard_stop_20pct,2022-01-13,570.15,2022-02-25,466.83,106,31,-18.12,-10951.92
EXIDEIND,hard_stop_20pct,2022-01-18,177.45,2022-02-25,141.78,347,28,-20.1,-12377.49
ASHAPURMIN,hard_stop_20pct,2022-01-18,122.16,2022-02-25,95.2,504,28,-22.07,-13587.84
STARCEMENT,signal_reversal,2022-01-10,101.33,2022-05-02,90.91,592,76,-10.28,-6168.64
EICHERMOT,signal_reversal,2022-01-06,2608.94,2022-05-11,2274.99,22,84,-12.8,-7346.9
GREAVESCOT,hard_stop_20pct,2022-01-10,169.92,2022-05-11,136.39,353,82,-19.73,-11836.09
REDINGTON,hard_stop_20pct,2022-01-11,145.45,2022-05-11,117.07,415,81,-19.51,-11777.7
SBILIFE,signal_reversal,2022-01-14,1247.36,2022-05-11,1071.01,48,78,-14.14,-8464.8
ALKEM,hard_stop_20pct,2022-01-11,3553.31,2022-05-12,2797.14,17,82,-21.28,-12854.89
MAPMYINDIA,hard_stop_20pct,2022-05-02,1456.39,2022-05-12,1149.29,42,8,-21.09,-12898.2
CMSINFO,signal_reversal,2022-05-13,222.21,2022-05-16,225.98,247,2,1.7,931.19
LUMAXTECH,signal_reversal,2022-01-11,170.63,2022-05-17,138.59,354,85,-18.78,-11342.16
NMDC,hard_stop_20pct,2022-02-11,32.82,2022-06-13,25.68,1794,82,-21.76,-12809.16
POLYCAB,hard_stop_20pct,2022-01-14,2612.78,2022-06-17,2063.83,23,105,-21.01,-12625.85
JKLAKSHMI,hard_stop_20pct,2022-05-23,473.98,2022-06-17,372.48,124,20,-21.41,-12586.0
360ONE,hard_stop_20pct,2022-01-17,374.48,2022-06-21,295.07,163,106,-21.21,-12943.83
COALINDIA,signal_reversal,2022-03-03,138.2,2022-06-23,131.42,392,77,-4.91,-2657.76
CIPLA,signal_reversal,2022-03-14,1002.69,2022-07-08,904.1,53,81,-9.83,-5225.27
COHANCE,signal_reversal,2022-01-14,533.02,2022-07-20,463.08,114,128,-13.12,-7973.16
CONCOR,signal_reversal,2022-01-17,651.23,2022-07-26,631.88,93,131,-2.97,-1799.55
SHARDACROP,signal_reversal,2022-01-13,350.09,2022-07-29,506.12,172,136,44.57,26837.16
LINDEINDIA,signal_reversal,2022-01-24,2816.03,2022-08-01,3638.91,20,130,29.22,16457.6
HCG,signal_reversal,2022-03-15,267.05,2022-08-02,267.7,202,97,0.24,131.3
VGUARD,signal_reversal,2022-05-31,229.88,2022-09-20,239.04,251,78,3.98,2299.16
BAYERCROP,signal_reversal,2022-01-13,4551.97,2022-09-22,4356.2,13,172,-4.3,-2545.01
CHENNPETRO,signal_reversal,2022-03-10,107.6,2022-09-28,194.75,498,138,80.99,43400.7
LLOYDSENGG,hard_stop_20pct,2022-07-29,14.99,2022-10-18,12.21,4024,54,-18.55,-11186.72
GNFC,hard_stop_20pct,2022-07-29,638.9,2022-11-21,501.07,94,76,-21.57,-12956.02
JKPAPER,signal_reversal,2022-03-15,258.24,2022-12-08,380.54,209,183,47.36,25560.7
KANSAINER,signal_reversal,2022-08-02,292.43,2022-12-12,282.9,213,89,-3.26,-2029.89
MAHSEAMLES,signal_reversal,2022-07-20,343.43,2022-12-20,312.09,174,104,-9.13,-5453.16
RAIN,signal_reversal,2022-08-01,178.35,2022-12-23,164.01,341,99,-8.04,-4889.94
TDPOWERSYS,signal_reversal,2022-05-16,82.15,2023-01-03,126.69,679,161,54.22,30242.66
MANYAVAR,signal_reversal,2022-06-28,944.2,2023-01-04,1292.19,59,131,36.86,20531.41
SYRMA,signal_reversal,2023-01-04,274.74,2023-01-11,268.79,236,6,-2.17,-1404.2
AWL,signal_reversal,2022-06-20,575.99,2023-01-12,580.87,96,143,0.85,468.48
TVSMOTOR,signal_reversal,2022-05-30,721.99,2023-02-07,1038.96,80,175,43.9,25357.6
DEEPAKFERT,signal_reversal,2022-01-07,405.98,2023-02-09,621.35,147,272,53.05,31659.39
MARUTI,signal_reversal,2022-06-28,8036.21,2023-02-16,8535.86,7,161,6.22,3497.55
SHAREINDIA,signal_reversal,2022-09-20,254.1,2023-02-20,232.66,255,106,-8.44,-5467.2
SMLMAH,hard_stop_20pct,2023-01-03,842.9,2023-02-28,669.22,77,40,-20.61,-13373.36
KIMS,signal_reversal,2022-09-28,275.93,2023-03-02,270.87,223,108,-1.83,-1128.38
ENDURANCE,signal_reversal,2022-07-01,1390.95,2023-03-09,1239.6,40,172,-10.88,-6054.0
FIEMIND,signal_reversal,2022-06-27,573.78,2023-03-10,788.64,97,177,37.45,20841.42
MFSL,hard_stop_20pct,2023-01-11,772.4,2023-03-21,617.2,82,48,-20.09,-12726.4
PRUDENT,signal_reversal,2022-09-27,597.45,2023-03-28,879.25,102,126,47.17,28743.6
GOKULAGRO,signal_reversal,2022-10-20,53.69,2023-03-28,51.8,1206,110,-3.52,-2279.34
AUBANK,signal_reversal,2022-01-12,652.0,2023-03-29,560.68,93,302,-14.01,-8492.76
GODREJCP,signal_reversal,2022-12-08,861.13,2023-03-29,912.28,77,78,5.94,3938.55
UJJIVANSFB,signal_reversal,2022-07-26,16.16,2023-04-03,24.12,3734,171,49.26,29722.64
FIVESTAR,signal_reversal,2023-03-28,535.69,2023-04-05,544.13,113,5,1.58,953.72
ACI,hard_stop_20pct,2023-03-28,649.41,2023-05-16,519.96,93,31,-19.93,-12038.85
PTC,signal_reversal,2022-11-22,59.4,2023-05-19,69.7,1077,122,17.34,11093.1
SHREECEM,signal_reversal,2023-02-21,26063.3,2023-06-15,25899.31,2,77,-0.63,-327.98
KIRLOSENG,signal_reversal,2023-03-09,385.6,2023-07-03,384.82,165,77,-0.2,-128.7
TRITURBINE,signal_reversal,2023-03-02,336.35,2023-08-30,382.68,187,122,13.77,8663.71
BRIGADE,signal_reversal,2023-02-09,370.92,2023-09-26,442.87,173,155,19.4,12447.35
AETHER,signal_reversal,2023-04-03,936.55,2023-10-13,950.7,66,132,1.51,933.9
ULTRACEMCO,signal_reversal,2023-04-05,7299.86,2023-10-20,8263.56,8,136,13.2,7709.6
ITC,signal_reversal,2022-03-15,192.71,2023-11-10,372.87,281,412,93.49,50624.96
ALIVUS,signal_reversal,2023-03-22,380.44,2023-11-21,621.89,160,164,63.47,38632.0
CARBORUNIV,signal_reversal,2023-02-07,989.66,2023-11-22,1086.76,64,195,9.81,6214.4
ASHOKLEY,signal_reversal,2023-05-16,69.89,2023-12-08,82.17,1022,142,17.57,12550.16
PRICOLLTD,signal_reversal,2022-12-20,215.27,2023-12-26,377.12,307,251,75.18,49687.95
TDPOWERSYS,signal_reversal,2023-01-06,144.88,2023-12-28,260.5,442,240,79.8,51104.04
LLOYDSENGG,signal_reversal,2022-12-12,13.98,2024-02-05,49.62,4699,284,254.94,167472.36
CRAFTSMAN,signal_reversal,2023-05-19,3551.43,2024-03-12,4046.31,20,202,13.93,9897.6
CGPOWER,signal_reversal,2023-01-12,297.04,2024-03-15,465.59,213,289,56.74,35901.15
CHOLAFIN,signal_reversal,2023-02-09,790.93,2024-04-12,1187.47,81,287,50.14,32119.74
SONACOMS,signal_reversal,2023-12-29,627.99,2024-05-02,637.35,180,82,1.49,1684.8
BANCOINDIA,signal_reversal,2022-05-31,65.35,2024-05-09,285.14,886,479,336.33,194733.94
PFOCUS,signal_reversal,2023-11-22,111.55,2024-05-28,100.7,957,124,-9.73,-10383.45
OLECTRA,signal_reversal,2023-11-21,1314.37,2024-06-19,1804.99,81,140,37.33,39740.22
SAMHI,signal_reversal,2024-02-05,207.0,2024-06-24,191.7,618,93,-7.39,-9455.4
ZAGGLE,signal_reversal,2024-02-05,228.0,2024-07-01,285.3,561,98,25.13,32145.3
SRF,signal_reversal,2023-08-30,2364.99,2024-07-19,2391.54,39,216,1.12,1035.45
APLAPOLLO,signal_reversal,2024-03-12,1587.44,2024-09-10,1409.1,79,122,-11.23,-14088.86
SCHAEFFLER,signal_reversal,2023-02-20,2873.35,2024-10-04,3820.96,22,398,32.98,20847.42
APOLLO,hard_stop_20pct,2024-07-19,125.23,2024-10-08,97.41,1407,56,-22.22,-39142.74
AZAD,signal_reversal,2024-05-13,1274.0,2024-10-11,1490.0,105,105,16.95,22680.0
CELLO,signal_reversal,2024-03-18,745.6,2024-10-23,839.15,163,148,12.55,15248.65
