date,nav,n_positions,invested_frac
2022-01-05,1500000.0,1,0.03964159999999994
2022-01-06,1500849.6,2,0.07908935045856691
2022-01-07,1501429.7400000002,2,0.07944518269632789
2022-01-10,1499952.1800000002,3,0.11848991079168933
2022-01-11,1498551.0200000003,4,0.1575843443755421
2022-01-12,1504932.9800000002,4,0.16115677124704905
2022-01-13,1508268.0600000003,4,0.16301162009623138
2022-01-14,1515010.9900000002,5,0.20668064592719548
2022-01-17,1514283.6200000003,5,0.20629958342942387
2022-01-18,1507728.9900000002,7,0.2702856897379149
2022-01-19,1507619.1100000003,8,0.3102180032727231
2022-01-20,1507766.4500000004,8,0.3102854092555249
2022-01-21,1498265.0700000005,8,0.30591152338617894
2022-01-24,1477392.7100000004,8,0.3096946511939943
2022-01-25,1476672.1400000006,6,0.2389124440310765
2022-01-27,1478089.9400000004,6,0.23964248752007594
2022-01-28,1472785.2100000007,5,0.19826997040525682
2022-01-31,1474490.8200000005,5,0.19919736767164128
2022-02-01,1475998.5800000005,6,0.23976646373196364
2022-02-02,1474613.4500000004,5,0.20056184215599002
2022-02-03,1471177.6500000004,5,0.19869482791558166
2022-02-04,1471596.3500000006,4,0.1596152980401181
2022-02-07,1466913.1600000006,4,0.15693232992742392
2022-02-08,1460537.5100000005,3,0.11860084305537619
2022-02-09,1464157.4800000004,4,0.16073177456293827
2022-02-10,1466455.9200000006,6,0.2420211103242707
2022-02-11,1459649.7100000004,8,0.3173417751030141
2022-02-14,1439198.0300000007,7,0.27323396211152395
2022-02-15,1449150.7400000007,7,0.27814269342332176
2022-02-16,1449366.8600000008,9,0.3581939978950532
2022-02-17,1444097.1600000006,10,0.3945634378229784
2022-02-18,1444517.0500000007,10,0.39473942519404653
2022-02-21,1429872.5000000007,10,0.38854043280082645
2022-02-22,1424064.1700000009,10,0.38604647289173766
2022-02-23,1436858.0500000007,11,0.43149464207685634
2022-02-24,1400401.5900000005,5,0.1964075819136994
2022-02-25,1413161.9900000005,5,0.20366376398221678
2022-02-28,1408413.2200000004,4,0.16436808225926752
2022-03-02,1408485.5300000005,4,0.16441098262472026
2022-03-03,1419802.8100000005,4,0.17107148139818087
2022-03-04,1411275.7900000005,4,0.16606304144138964
2022-03-07,1401170.7600000005,3,0.12101347304735362
2022-03-08,1403918.8500000006,3,0.1227340383669612
2022-03-09,1404896.4600000004,4,0.16326544092793854
2022-03-10,1403572.0000000005,4,0.16247586871211453
2022-03-11,1404318.1300000004,4,0.16292085469266135
2022-03-14,1408278.1200000003,5,0.2051538654878767
2022-03-15,1401921.8700000003,5,0.20155006926313224
2022-03-16,1401646.2500000002,6,0.24133219776387932
2022-03-17,1404956.1600000004,9,0.36258257339503025
2022-03-21,1403558.4900000002,11,0.44184425830376317
2022-03-22,1402482.3000000003,11,0.4414159594028387
2022-03-23,1406036.0100000002,11,0.4428277622846941
2022-03-24,1414675.1000000003,13,0.5259878328246534
2022-03-25,1408761.2700000005,14,0.5639513783623538
2022-03-28,1415951.5400000003,14,0.5661656542285337
2022-03-29,1423515.27,15,0.6082028610764391
2022-03-30,1410607.7800000003,15,0.6046177981522262
2022-03-31,1420363.2900000003,14,0.5721435394180032
2022-04-01,1429173.1600000004,14,0.5747809803537032
2022-04-04,1439316.5700000003,14,0.5777776601293486
2022-04-05,1446816.2500000002,14,0.5799662811362534
2022-04-06,1463408.3200000003,14,0.5847286080757008
2022-04-07,1461037.0800000003,16,0.6640327020310803
2022-04-08,1480989.6,17,0.7080992128506505
2022-04-11,1501704.7000000004,19,0.7919183978048412
2022-04-12,1483466.1900000004,18,0.7558532965284499
2022-04-13,1488613.2400000005,18,0.7566974615918368
2022-04-18,1495683.6800000002,21,0.8777269335451997
2022-04-19,1488149.36,21,0.8771078798165794
2022-04-20,1487646.9700000002,21,0.8770663781878302
2022-04-21,1502329.77,24,0.9964953367062677
2022-04-22,1512099.2700000005,24,0.9965179799339494
2022-04-25,1489172.9700000007,22,0.9210801079742937
2022-04-26,1491558.8000000005,21,0.8880227718813363
2022-04-27,1471040.1300000001,21,0.8864608676583144
2022-04-28,1470201.3400000003,21,0.8863960904837699
2022-04-29,1458820.3400000005,21,0.8874398611689222
2022-05-02,1452239.7300000004,19,0.8081837356150557
2022-05-04,1429385.9700000002,17,0.7291018044622334
2022-05-05,1431359.2800000003,18,0.7688733607120637
2022-05-06,1408027.4800000002,13,0.5729763385015751
2022-05-09,1381697.2900000003,11,0.48862034027728307
2022-05-10,1361191.3400000003,9,0.39278524208066146
2022-05-11,1343806.9800000002,8,0.3472757002646317
2022-05-12,1338673.02,6,0.2604776108806614
2022-05-13,1353822.84,6,0.26875316271071326
2022-05-16,1368987.12,6,0.276853189093554
2022-05-17,1379172.81,6,0.28219388982878796
2022-05-18,1386466.5300000003,6,0.28597001905267777
2022-05-19,1377422.4500000002,6,0.28128173749455004
2022-05-20,1390958.6,7,0.3278017836044868
2022-05-23,1388374.07,7,0.32655045192539495
2022-05-24,1388524.1500000001,7,0.3266232423829286
2022-05-25,1375678.4300000002,7,0.3203354289708533
2022-05-26,1384109.2600000002,7,0.3244753741478473
2022-05-27,1391793.5500000003,7,0.3282050416169841
2022-05-30,1398703.01,7,0.3315236448944225
2022-05-31,1392386.08,7,0.32849092401153557
2022-06-01,1392086.5,7,0.3283464138183941
2022-06-02,1392780.7000000002,7,0.32868118433863996
2022-06-03,1383565.6800000002,7,0.3242099717304349
2022-06-06,1384332.62,7,0.3245843690369732
2022-06-07,1383036.2800000003,6,0.28599872304145196
2022-06-08,1386353.58,7,0.32729991579781537
2022-06-09,1385570.0900000003,7,0.3269195281200102
2022-06-10,1380313.4400000002,7,0.3243562346245067
2022-06-13,1364519.4300000002,7,0.31653580777519597
2022-06-14,1368189.1600000001,8,0.35831072510470696
2022-06-15,1373742.7700000003,7,0.3163921728956579
2022-06-16,1358981.81,13,0.5484559723429999
2022-06-17,1358197.59,15,0.6280102293510916
2022-06-20,1314779.6400000001,10,0.4093087948943291
2022-06-21,1330452.1,11,0.45616327712963123
2022-06-22,1326144.0500000003,11,0.45439659439711694
2022-06-23,1325598.4900000002,11,0.4541720472237411
2022-06-24,1328021.6700000004,12,0.49516149838127266
2022-06-27,1334822.6400000001,12,0.4977336689464601
2022-06-28,1347741.6900000002,13,0.5424537249419062
2022-06-29,1352796.5100000002,13,0.5441633790140395
2022-06-30,1348630.87,12,0.5094560233520383
2022-07-01,1345661.1500000001,13,0.5482108404482063
2022-07-04,1349793.5400000005,13,0.5495939919819145
2022-07-05,1346686.7200000002,13,0.5485549007270227
2022-07-06,1346045.1400000004,12,0.5175222206886761
2022-07-07,1351168.36,11,0.4845524875967343
2022-07-08,1351325.4900000002,11,0.48461242302178426
2022-07-11,1359046.37,11,0.4875403920176762
2022-07-12,1351779.1900000002,12,0.5247352639006078
2022-07-13,1350030.37,12,0.5241196092499755
2022-07-14,1344435.9600000002,13,0.5619510355852129
2022-07-15,1351676.85,15,0.6419099653885467
2022-07-18,1368196.5100000002,15,0.646233558949803
2022-07-19,1376052.9300000002,17,0.7282330992892838
2022-07-20,1372740.7500000005,18,0.7674826219007486
2022-07-21,1376383.7200000002,18,0.7680980417292352
2022-07-22,1381500.79,18,0.768957005084304
2022-07-25,1384846.3000000003,18,0.7695151584692106
2022-07-26,1369567.3200000003,18,0.7669438549395293
2022-07-27,1376015.02,18,0.7680359041429649
2022-07-28,1380538.0500000003,18,0.7687958836049467
2022-07-29,1393645.7700000005,18,0.7709704382053986
2022-08-01,1409405.9500000002,18,0.7735314796989469
2022-08-02,1413120.1500000004,16,0.6991622191502965
2022-08-03,1409582.8700000006,16,0.6984072812973386
2022-08-04,1416199.4300000004,16,0.6998163387200346
2022-08-05,1421989.62,15,0.6620234119571139
2022-08-08,1424055.21,15,0.662513646503916
2022-08-10,1429399.0800000003,17,0.7428883191949445
2022-08-11,1430586.3600000003,18,0.7830311900918725
2022-08-12,1437631.3800000004,18,0.7840944317729068
2022-08-16,1449281.4500000002,18,0.7858299918211193
2022-08-17,1443707.83,19,0.8249426824816763
2022-08-18,1448173.06,19,0.8254824461380327
2022-08-19,1430734.9700000002,19,0.8233553905514729
2022-08-22,1420207.29,19,0.8220459634452375
2022-08-23,1433653.2900000003,19,0.8195491812389312
2022-08-24,1445200.7400000002,19,0.8231882444234009
2022-08-25,1448089.7800000003,19,0.8235409961943104
2022-08-26,1452288.0300000003,22,0.9433688784173204
