ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
PAGEIND,signal_reversal,2022-01-19,41483.22,2022-01-25,37883.37,1,5,-8.68,-3599.85
TTML,signal_reversal,2022-01-19,213.45,2022-01-27,165.3,282,6,-22.56,-13578.3
HINDZINC,signal_reversal,2022-01-20,223.27,2022-01-27,212.63,270,5,-4.77,-2872.8
TIINDIA,signal_reversal,2022-01-25,1704.7,2022-01-31,1673.51,34,4,-1.83,-1060.46
CHAMBLFERT,signal_reversal,2022-01-12,381.02,2022-02-03,361.52,157,16,-5.12,-3061.5
GODREJIND,signal_reversal,2022-01-06,619.4,2022-02-07,602.55,96,22,-2.72,-1617.6
TANLA,signal_reversal,2022-01-07,1717.33,2022-02-09,1549.6,34,23,-9.77,-5702.82
SANSERA,signal_reversal,2022-02-02,742.69,2022-02-09,706.33,79,6,-4.9,-2872.44
JWL,signal_reversal,2022-02-11,47.01,2022-02-15,39.71,1247,3,-15.53,-9103.1
THERMAX,signal_reversal,2022-02-14,1778.4,2022-02-16,1805.78,32,3,1.54,876.16
REDINGTON,signal_reversal,2022-01-11,145.45,2022-02-25,125.41,412,33,-13.78,-8256.48
POONAWALLA,signal_reversal,2022-02-10,256.56,2022-02-25,223.58,228,12,-12.85,-7519.44
TARIL,hard_stop_20pct,2022-02-11,19.85,2022-02-25,16.37,2955,11,-17.53,-10283.4
CCL,signal_reversal,2022-02-16,457.66,2022-02-25,417.65,126,8,-8.74,-5041.26
KITEX,signal_reversal,2022-02-17,81.25,2022-02-25,70.27,713,7,-13.51,-7828.74
LUMAXTECH,signal_reversal,2022-02-24,161.37,2022-02-25,153.78,356,2,-4.7,-2702.04
BIOCON,signal_reversal,2022-02-14,390.55,2022-03-02,346.06,149,12,-11.39,-6629.01
MINDACORP,signal_reversal,2022-01-17,190.9,2022-03-08,172.54,317,35,-9.62,-5820.12
GRAVITA,signal_reversal,2022-03-10,350.53,2022-04-01,312.39,160,16,-10.88,-6102.4
HINDALCO,signal_reversal,2022-03-25,600.37,2022-04-13,528.79,94,14,-11.92,-6728.52
POWERINDIA,signal_reversal,2022-02-18,2942.27,2022-04-26,3172.74,19,44,7.83,4378.93
NATIONALUM,signal_reversal,2022-03-21,98.6,2022-04-26,91.35,569,25,-7.35,-4125.25
TIMKEN,signal_reversal,2022-03-21,2222.72,2022-04-27,1979.81,25,26,-10.93,-6072.75
ONGC,signal_reversal,2022-04-12,133.21,2022-05-02,123.2,450,13,-7.51,-4504.5
GMDCLTD,signal_reversal,2022-03-22,146.22,2022-05-04,153.71,383,29,5.12,2868.67
OIL,signal_reversal,2022-04-19,131.33,2022-05-04,121.95,455,11,-7.14,-4267.9
NH,signal_reversal,2022-03-30,744.2,2022-05-05,677.08,76,24,-9.02,-5101.12
