Leg,Stat,Blitz,Practitioner_IR
Long Leg,Ann. Return (%),44.34,45.88
Long Leg,Ann. Volatility (%),22.51,20.75
Long Leg,Sharpe Ratio,1.69,1.907
Long Leg,Max Drawdown (%),-23.22,-23.92
Long Leg,Win Rate (%),77.92,77.92
Long Leg,t-stat,4.991,5.602
Long Leg,p-value,0.0,0.0
Short Leg,Ann. Return (%),31.94,34.55
Short Leg,Ann. Volatility (%),23.07,26.85
Short Leg,Sharpe Ratio,1.111,1.052
Short Leg,Max Drawdown (%),-23.54,-22.77
Short Leg,Win Rate (%),64.94,58.44
Short Leg,t-stat,3.507,3.26
Short Leg,p-value,0.0008,0.0017
L/S Portfolio,Ann. Return (%),12.4,11.33
L/S Portfolio,Ann. Volatility (%),9.91,17.18
L/S Portfolio,Sharpe Ratio,0.615,0.292
L/S Portfolio,Max Drawdown (%),-10.45,-29.02
L/S Portfolio,Win Rate (%),70.13,68.83
L/S Portfolio,t-stat,3.17,1.671
L/S Portfolio,p-value,0.0022,0.0988
