TICKER,RS_12M,RS_9M,RS_6M,RS_3M,RZ_12M,RZ_9M,RZ_6M,RZ_3M,RES_MOM
CUPID,3.561223208863626,3.3262776650024044,3.773393324232792,5.589835706664336,3.249343122770556,2.707998133052737,2.4818492043985736,2.737933459727417,2.7942809799873207
WELCORP,2.7648536854061927,3.3947059500641656,5.206791845188412,4.605622496941414,2.5416771454515126,2.7637315471357753,3.483484697747909,2.2579731682529687,2.7617166396470414
LAURUSLABS,2.7439172669695795,3.051221569460466,4.259604062296334,4.150970342015409,2.523072728057207,2.4839706675818958,2.8216053331877555,2.036258016858888,2.466226686421437
STLTECH,3.059869054750545,3.9267127743053,4.463970527518267,1.7482159497653071,2.8038322550102333,3.19704003358508,2.9644132838197685,0.8645335499920705,2.4574547806017883
SANSERA,3.149635242467246,3.4858140226967036,3.600262902279779,3.232351445055398,2.8835998441627573,2.837937176193317,2.360868491029989,1.588285373143827,2.4176727211324724
SONACOMS,2.145824269958048,3.1081895203671976,4.135403806814659,4.19370261358896,1.9915982645188437,2.5303698780031625,2.7348162216079808,2.057096787683333,2.32847028795333
HFCL,2.40944635997695,3.063375065768376,4.364200070508635,2.595821659565816,2.225856832282941,2.4938694373913988,2.894695316717425,1.2778759838390894,2.2230743925577134
SHILPAMED,1.4768782360924837,2.6214092208678133,4.149269262038178,4.390426264842826,1.3971627231209869,2.1338974547212115,2.744505175433651,2.153030819113681,2.1071490430973827
DIVISLAB,1.4071491017053563,2.0293859438971826,3.8535129225855633,5.006394081294562,1.3352003619554733,1.6517068165600952,2.5378354721739353,2.453412982045923,1.9945389081838567
ATHERENERG,3.1111135775853307,2.264490474326752,2.6597440542703814,2.996858825078846,2.8493689113813696,1.8431945637015434,1.7036492693286929,1.4734453106376075,1.9674145137623036
DIACABS,1.7795627997269334,2.530337015417442,3.7379891110292056,3.231471870364959,1.6661327944690403,2.0597210387370923,2.4571093180094223,1.5878564407533389,1.9427048979922235
ANANDRATHI,2.183335816378142,2.110352214961255,3.3243220911425304,3.711144183032744,2.0249315907903926,1.7176521593068934,2.1680455555672062,1.821772893739238,1.9331005498509328
SYRMA,1.6762612927258567,2.315087247722388,2.8750121022386947,3.559642387435546,1.5743375163259603,1.8844045826342035,1.8540750680698133,1.7478917008682295,1.7651772169745514
RRKABEL,1.8520498218532226,2.4647509819547557,2.9014535535904176,2.856491998704472,1.7305458563014968,2.006302579429794,1.872551922749347,1.404994184159683,1.7535986356600803
AETHER,1.6942018320805319,2.26592737544972,2.2113538573377305,4.282647928423976,1.590279750354377,1.8443648897620382,1.3903215174497392,2.10047175848414,1.7313594790125737
APARINDS,1.657129395612595,2.4072173441162037,3.0283303035318188,2.710041220498647,1.5573366238133435,1.9594426287753908,1.9612113249771315,1.333576164669662,1.7028916855588818
HONASA,1.9733058784991604,2.4303821048788814,2.905499936290653,2.2027320568106523,1.838295818228295,1.9783098443216458,1.8753794689432193,1.086182356431815,1.6945418719812437
SKYGOLD,1.6238726822072385,1.9002293249679791,3.154567236731454,3.2718223277267757,1.5277842063724483,1.5465114383937497,2.0494236337075926,1.607533698775467,1.6828132443123145
SAILIFE,1.8446276187285122,2.0065722428143995,3.1523552612847,2.6925640870322995,1.7239503745893072,1.6331255318170128,2.0478779413648875,1.3250532856940715,1.6825017833663196
CPPLUS,2.2862160257728377,2.476134924978103,2.965157961211423,1.3578962306116031,2.1163524975222368,2.0155745641046297,1.9170675231376135,0.6741906808631585,1.6807963164069095
SHRIPISTON,1.9951689405765254,2.219250902145693,2.290547691980725,3.060088952893177,1.8577236651466387,1.80634787366641,1.4456608766531922,1.5042800426610443,1.6535031145318213
BOSCHLTD,1.0626305551257336,1.7572031083980086,2.518829879316672,5.030649482999243,1.0290559820056586,1.430019561597045,1.6051807435933831,2.4652413435808036,1.6323744076942226
AVALON,2.087832702495574,1.8166774517680204,2.72882553040032,2.729602886417575,1.9400660824654348,1.4784601765177012,1.7519222774371292,1.3431155843639149,1.628391030196045
TITAN,1.577509722686387,2.1622605523190748,1.7197557638129422,4.484269730995526,1.4865853808344185,1.7599304197910526,1.0468007925859943,2.198794416800307,1.623027752502943
RADICO,1.6156809783019883,1.3964562480677292,3.307146572817898,3.195407564067163,1.520504934653398,1.136198751565101,2.156043583666779,1.5702693622712414,1.59575415803913
RUBICON,,2.89101958053401,3.190754362072903,3.9665749267095642,0.0,2.3534894816555525,2.0747106063215393,1.9463359589120528,1.593634011722286
QUESS,0.5853364597863648,1.7965827121085671,2.5418375104247866,5.363952308149993,0.6049252455850339,1.4620934292680758,1.6212581007267028,2.627779419201275,1.579014048695272
TVSMOTOR,2.0800274327977233,1.7106865185947302,1.6349706308526288,3.9548322251879773,1.9331302020151284,1.3921327672853503,0.9875543253685067,1.9406095264792014,1.5633567052870467
WABAG,1.2274998692317494,1.9492547399889122,2.9384833632175353,3.028016992309189,1.1755613427208975,1.5864416186326427,1.8984277493894934,1.4886398669369434,1.5372676444199944
KTKBANK,1.5750533066427963,2.324681765273552,2.550011059612139,2.1397634309798863,1.484402572465958,1.892219117502692,1.6269696435063274,1.0554751481674711,1.514766620410612
AKUMS,1.1488321578967826,1.9152415978984565,2.5346893534553407,3.617505299661817,1.1056560271789129,1.5587386222667157,1.6162630852945283,1.776109062658669,1.5141916993497064
MOTHERSON,1.8289012261302093,2.5100522137539008,2.1315545326222307,1.92618555201738,1.709975664784411,2.0431994899406254,1.3345590516652301,0.951322003272985,1.509764052415813
NAVINFLUOR,2.039192505470225,2.075861381103284,2.5591537353755727,1.5001129872674686,1.8968436693129378,1.6895600929378394,1.6333583961211515,0.743543942232528,1.4908265251511141
VARROC,1.2488406381336061,1.3845161383003317,2.640523876024619,3.957995960013434,1.1945250720410583,1.1264737806519376,1.6902185224442732,1.9421523497963173,1.4883424312333966
