,RS_12M_before,RS_9M_before,RS_6M_before,RS_3M_before,RZ_12M_before,RZ_9M_before,RZ_6M_before,RZ_3M_before,RES_MOM_before,RS_12M_after,RS_9M_after,RS_6M_after,RS_3M_after,RZ_12M_after,RZ_9M_after,RZ_6M_after,RZ_3M_after,RES_MOM_after,RANK_before,COMPOSITE_before,RANK_after,COMPOSITE_after
CUPID,3.458610038229075,2.9940048633155394,4.07108839743378,4.883486864179515,3.110126765713861,2.422357462517883,2.6585570636845635,2.3728468671861123,2.6409720397756047,3.4923819921036237,3.304307953766629,3.6288746598465482,5.486940550347219,3.1685342938264665,2.7756280662171333,2.41086182693087,2.906248450084205,2.8153181592646686,1.0,4.187799910728768,1.0,4.187799910728768
WELCORP,3.003405342106696,3.672701257342089,5.696912473671652,5.000472561269287,2.7078233836888326,2.9862726541965925,3.79906343562625,2.429533172275211,2.9806731614467212,2.3478894619350554,3.054835962208747,4.650673579978695,3.0378971392081104,2.1559030394315704,2.5681439878489742,3.1479913381027447,1.631938934235763,2.375994324904763,2.0,4.186979556192597,2.0,4.186979556192597
SHILPAMED,1.704946138125253,2.758598758959626,4.320652571727538,4.136671361815019,1.560263761318805,2.2267632621823936,2.8336249170583585,2.0109717622336136,2.1579059256982926,1.2446996170622717,1.9997320939118342,3.9610921823405167,4.008547526015222,1.1798158330915691,1.690621616182367,2.6505247734595665,2.1369969576437504,1.9144897950943132,3.0,3.554890697236387,3.0,3.554890697236387
HFCL,2.4044436263232023,3.050574629621687,4.203648944121603,1.9892072236180098,2.178469609406962,2.4693601442626503,2.751547535639794,0.9704017580875484,2.0924447618492388,2.115848205567759,2.5369557940896783,3.9818550710293876,2.1984194420846372,1.9505961262689524,2.137426740929488,2.6655031979697084,1.1951339299139285,1.9871649987705193,4.0,3.44374824384435,4.0,3.44374824384435
LAURUSLABS,2.6547878051765252,2.841801943705584,3.634967400944345,3.18406725054639,2.399720204317112,2.2958951159645147,2.3526206572163253,1.549380229047592,2.1494040516363864,2.7011156279870265,3.208758949578309,3.1005463829895996,5.996578144646802,2.4684326944408737,2.6961606400375127,2.0297238586039166,3.1714279210140397,2.5914362785240854,5.0,3.3810538208921863,5.0,3.3810538208921863
ANANDRATHI,2.228378804985632,2.522611990530059,3.321740856253827,3.9619616525904546,2.0228660453771785,2.0306865997397274,2.1328940119402553,1.926314850102453,2.0281903767899037,2.0011696123977654,1.932849954035449,2.4981722053058038,2.6906885318986444,1.8491300838152995,1.6349962168544334,1.5951689042091797,1.451276055714903,1.6326428151484538,6.0,3.3162429081601132,6.0,3.3162429081601132
ATHERENERG,2.9424497259452447,2.5368191653087067,2.7695758750780053,3.196470277645462,2.653951684332333,2.0424910556923854,1.7455534081208615,1.5553902097175094,1.9993465894657723,2.9612513935502904,2.676043682286045,3.185477087231801,3.213429470294113,2.6985972430522187,2.2531051468073717,2.0909931820178036,1.7232735830315198,2.1914922887272286,7.0,3.207011761443948,7.0,3.207011761443948
SANSERA,3.349121697756954,3.6081380538847894,3.2293273381307235,2.8675794419497933,3.0133625406532296,2.9326283861947937,2.0680664529113364,1.3960236656266818,2.3525202613465104,3.4749445730685453,3.794752631058465,4.18199635432919,4.144620644777989,3.1531059052215182,3.1835274108409792,2.8098858582146566,2.2077998145069193,2.838579747196018,8.0,3.0565672831659825,8.0,3.0565672831659825
SKYGOLD,1.8319296541516443,1.766630619659129,2.4239148168212306,3.247422267800494,1.6724899716237893,1.4025568742655457,1.5030741354641322,1.5800793822460837,1.5395500908998878,1.5919121501210287,1.3948594259528293,2.3231546799325247,1.929809624361003,1.4870247083134394,1.187553326801092,1.4689106156329579,1.0553683197092754,1.2997142426141912,9.0,3.0242151495188065,9.0,3.0242151495188065
CPPLUS,2.3405840682614754,2.317103589748642,3.194869115342066,0.1866169814232594,2.122031447846455,1.85993380034633,2.0438942049844946,0.09694301089324778,1.5307006160176317,2.4907706021041727,2.452534520516556,3.7779828777109445,2.404853025482664,2.282322307696708,2.0672141690387416,2.5184290454711653,1.3025474116506377,2.0426282334643133,10.0,2.976101596088662,10.0,2.976101596088662
DIVISLAB,1.659437327621324,2.63894568151121,3.8465283213056285,5.272481383987297,1.5200437272690142,2.127345925213853,2.501029443414291,2.5613371063893737,2.177439050571633,1.1277490026942383,1.7003856426545119,2.8637157306870855,3.7252697229850718,1.076339537521241,1.4416573049422654,1.858873352185598,1.9895991620848474,1.5916173391834878,11.0,2.9531953446272166,11.0,2.9531953446272166
