TICKER,RANK,S_12M,S_9M,S_6M,S_3M,Z_12M,Z_9M,Z_6M,Z_3M,COMPOSITE,1M%,3M%,12M%
NATIONALUM,1.0,1.7642273716546488,2.5455760202816524,2.935572474014541,3.1148182076426605,1.9558736281262226,2.8726333715593597,2.5950716390093804,2.1663166255189785,2.3974738160534854,8.912924424972623,49.727084509693206,111.715547985309
BHARATFORG,2.0,1.4096400908971412,1.3666151816863774,3.101464877457597,3.596898157388465,1.569887488977647,1.8449647879400828,2.7075366135070684,2.418378690551602,2.1351918952441,12.996730382293741,29.91397383069472,72.92278085157564
MCX,3.0,2.417083577046911,1.6903557609532478,2.4910563514279294,1.7508538522916974,2.6665405352984513,2.1271607792434724,2.2937167044075997,1.453149292544564,2.1351418278735217,3.971415663887634,22.205058891677922,163.2449126017739
GESHIP,4.0,1.405586230406719,1.6006656364781175,2.477653331186637,3.904573764013022,1.565474657372401,2.048980300158335,2.284630270681016,2.5792510703442986,2.119584074639013,8.66585440146208,32.5222882615156,59.06810834912495
VEDL,5.0,1.3140772733163812,1.8236092485912556,2.6788446750473955,3.2457017567275654,1.4658625422131792,2.2433142751190807,2.421025782994048,2.2347508710803954,2.091238367851676,6.149319602795145,39.79463334302045,62.89648944576136
KIRLOSENG,6.0,1.8276570778073777,1.5650800025747724,2.3954556934646725,2.6603209091610407,2.0249200624284267,2.017961256273707,2.22890526436182,1.9286765252255873,2.050115777072385,19.031596224866654,29.108064803275767,122.33463631486168
SHRIRAMFIN,7.0,1.2761770412750093,1.5627470031454964,3.400887000313793,2.218974645889823,1.4246062280914986,2.0159276431624136,2.9105266281922484,1.6979126227375576,2.0122432805459294,-2.917097958031434,21.849533482933747,66.52409006537006
KARURVYSYA,8.0,1.8826098658708854,1.6845534467138525,2.1830707281184254,2.2353889233789186,2.084738943846762,2.1221030573404973,2.0849211564966454,1.7064950511959525,1.9995645522199643,-6.614607257694082,25.488663017982805,95.99462693857612
TORNTPHARM,9.0,1.4819532427444893,1.9849057629643798,1.862331164653079,2.983461845545763,1.6486040019659138,2.38391212624538,1.86747921173688,2.0976351632370984,1.999407625796318,10.857600320224158,17.728951353649137,44.99762765661555
ASHOKLEY,10.0,2.066776965667339,1.7538787774981583,2.1103185240693576,1.6701446157474469,2.2852141206685643,2.182532091252202,2.0355995805642215,1.4109493693963864,1.9785737904703433,-10.27210884353742,15.716255169820759,87.8248487006052
SBIN,11.0,1.7646934483016916,1.7076913444478878,2.5110779951435522,1.7659009877224427,1.9563809760636757,2.1422717430286453,2.307290162885174,1.4610168921647082,1.9667399435355508,-4.790575916230377,13.73325689268774,49.90726111149273
GVT&D,12.0,2.228489633193446,1.4975640042671239,1.3801128876838225,2.581924173178124,2.4612465154472867,1.9591093690175252,1.5405645062043731,1.8876857244795888,1.9621515287871933,2.5112423470769807,29.926180257510726,166.19535014596744
HINDCOPPER,13.0,1.5897634012603947,1.6687668259026176,2.3865762564262734,2.032505591907954,1.765960797047936,2.1083422828362766,2.2228855453189276,1.6004147391683838,1.924400841092881,-9.214046822742484,49.621055532589196,151.5755329008341
GOLDBEES,14.0,1.8700161146309235,1.8480346655135522,1.9522666351409124,1.632987192725719,2.071030010440787,2.264605256796432,1.9284499987345118,1.391521104887385,1.9139015927147789,3.695889982809808,24.868272487768174,82.24388904147216
