SYMBOL,SERIES,BAND,MARKETCAP,MARKETCAP_CR
RELIANCE,EQ,No Band,LARGECAP,1.64989E+13
HDFCBANK,EQ,No Band,LARGECAP,1.12372E+13
BHARTIARTL,EQ,No Band,LARGECAP,1.12034E+13
ICICIBANK,EQ,No Band,LARGECAP,9.58004E+12
SBIN,EQ,No Band,LARGECAP,9.03216E+12
TCS,EQ,No Band,LARGECAP,7.55095E+12
BAJFINANCE,EQ,No Band,LARGECAP,6.10937E+12
LT,EQ,No Band,LARGECAP,5.30875E+12
LICI,EQ,No Band,LARGECAP,5.1359E+12
HINDUNILVR,EQ,No Band,LARGECAP,4.54294E+12
SUNPHARMA,EQ,No Band,LARGECAP,4.43853E+12
ADANIENT,EQ,No Band,LARGECAP,4.16489E+12
ADANIPORTS,EQ,No Band,LARGECAP,4.11326E+12
INFY,EQ,No Band,LARGECAP,4.10907E+12
KOTAKBANK,EQ,No Band,LARGECAP,4.02889E+12
ADANIPOWER,EQ,No Band,LARGECAP,3.84691E+12
MARUTI,EQ,No Band,LARGECAP,3.76969E+12
AXISBANK,EQ,No Band,LARGECAP,3.69426E+12
M&M,EQ,No Band,LARGECAP,3.64534E+12
HCLTECH,EQ,No Band,LARGECAP,3.36489E+12
ITC,EQ,No Band,LARGECAP,3.35818E+12
ULTRACEMCO,EQ,No Band,LARGECAP,3.2525E+12
HAL,EQ,No Band,LARGECAP,3.21012E+12
NTPC,EQ,No Band,LARGECAP,3.16693E+12
JSWSTEEL,EQ,No Band,LARGECAP,3.10785E+12
ETERNAL,EQ,No Band,LARGECAP,3.08841E+12
BAJAJ-AUTO,EQ,No Band,LARGECAP,3.08E+12
ONGC,EQ,No Band,LARGECAP,3.00669E+12
BEL,EQ,No Band,LARGECAP,2.87676E+12
BAJAJFINSV,EQ,No Band,LARGECAP,2.81972E+12
NESTLEIND,EQ,No Band,LARGECAP,2.60515E+12
COALINDIA,EQ,No Band,LARGECAP,2.60067E+12
DIVISLAB,EQ,No Band,LARGECAP,2.54903E+12
HINDZINC,EQ,No Band,LARGECAP,2.4809E+12
POWERGRID,EQ,No Band,LARGECAP,2.47768E+12
DMART,EQ,No Band,LARGECAP,2.47038E+12
TATASTEEL,EQ,No Band,LARGECAP,2.34715E+12
SHRIRAMFIN,EQ,No Band,LARGECAP,2.32952E+12
ASIANPAINT,EQ,No Band,LARGECAP,2.29375E+12
HINDALCO,EQ,No Band,LARGECAP,2.19634E+12
GRASIM,EQ,No Band,LARGECAP,2.14764E+12
ADANIGREEN,EQ,No Band,LARGECAP,2.10855E+12
EICHERMOT,EQ,No Band,LARGECAP,2.0144E+12
TVSMOTOR,EQ,No Band,LARGECAP,1.96317E+12
IOC,EQ,No Band,LARGECAP,1.9243E+12
INDIGO,EQ,No Band,LARGECAP,1.8908E+12
TORNTPHARM,EQ,No Band,LARGECAP,1.87464E+12
SOLARINDS,EQ,No Band,LARGECAP,1.76275E+12
SBILIFE,EQ,No Band,LARGECAP,1.76098E+12
MOTHERSON,EQ,No Band,LARGECAP,1.74513E+12
VAML,EQ,20,LARGECAP,1.67645E+12
