Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest:
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,009,447 | RS: 0.53 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,085,844 | RS: 0.48 | N=17 | Held: 19
  [3/471] Sep 2017 | Eq:    2,139,317 | RS: 0.58 | N=20 | Held: 20
  [4/471] Sep 2017 | Eq:    2,203,013 | RS: 0.58 | N=20 | Held: 20
  [5/471] Sep 2017 | Eq:    2,172,779 | RS: 0.61 | N=21 | Held: 21
  [6/471] Sep 2017 | Eq:    2,178,770 | RS: 0.54 | N=19 | Held: 19
  [7/471] Sep 2017 | Eq:    2,331,375 | RS: 0.52 | N=18 | Held: 18
  [8/471] Oct 2017 | Eq:    2,403,776 | RS: 0.57 | N=20 | Held: 20
  [9/471] Oct 2017 | Eq:    2,434,959 | RS: 0.59 | N=20 | Held: 20
  [10/471] Oct 2017 | Eq:    2,466,087 | RS: 0.49 | N=17 | Held: 20
  [11/471] Oct 2017 | Eq:    2,544,295 | RS: 0.62 | N=21 | Held: 21
  [12/471] Nov 2017 | Eq:    2,577,533 | RS: 0.65 | N=22 | Held: 22
  [13/471] Nov 2017 | Eq:    2,535,769 | RS: 0.62 | N=21 | Held: 21
  [14/471] Nov 2017 | Eq:    2,569,732 | RS: 0.61 | N=21 | Held: 21
  [15/471] Nov 2017 | Eq:    2,562,742 | RS: 0.64 | N=22 | Held: 22
  [16/471] Dec 2017 | Eq:    2,600,730 | RS: 0.61 | N=21 | Held: 21
  [17/471] Dec 2017 | Eq:    2,588,869 | RS: 0.62 | N=21 | Held: 21
  [18/471] Dec 2017 | Eq:    2,678,360 | RS: 0.60 | N=21 | Held: 21
  [19/471] Dec 2017 | Eq:    2,697,650 | RS: 0.68 | N=23 | Held: 23
  [20/471] Dec 2017 | Eq:    2,785,022 | RS: 0.68 | N=23 | Held: 23
  [21/471] Jan 2018 | Eq:    2,852,466 | RS: 0.71 | N=23 | Held: 23
  [22/471] Jan 2018 | Eq:    2,781,934 | RS: 0.71 | N=23 | Held: 23
  [23/471] Jan 2018 | Eq:    2,796,583 | RS: 0.63 | N=21 | Held: 22
  [24/471] Jan 2018 | Eq:    2,522,457 | RS: 0.49 | N=18 | Held: 20
  [25/471] Feb 2018 | Eq:    2,588,806 | RS: 0.46 | N=17 | Held: 17
  [26/471] Feb 2018 | Eq:    2,565,500 | RS: 0.48 | N=17 | Held: 17
  [27/471] Feb 2018 | Eq:    2,525,561 | RS: 0.47 | N=17 | Held: 17
  [28/471] Feb 2018 | Eq:    2,515,195 | RS: 0.46 | N=17 | Held: 17
  [29/471] Mar 2018 | Eq:    2,432,154 | RS: 0.48 | N=17 | Held: 17
  [30/471] Mar 2018 | Eq:    2,451,347 | RS: 0.40 | N=15 | Held: 15
  [31/471] Mar 2018 | Eq:    2,389,254 | RS: 0.41 | N=16 | Held: 16
  [32/471] Mar 2018 | Eq:    2,391,427 | RS: 0.35 | N=14 | Held: 14
  [33/471] Mar 2018 | Eq:    2,452,497 | RS: 0.47 | N=17 | Held: 17
  [34/471] Apr 2018 | Eq:    2,459,907 | RS: 0.49 | N=17 | Held: 17
  [35/471] Apr 2018 | Eq:    2,514,471 | RS: 0.49 | N=18 | Held: 18
  [36/471] Apr 2018 | Eq:    2,561,237 | RS: 0.52 | N=18 | Held: 18
