Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Sharpe/Clenow 50-50 blend):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,025,724 | RS: 0.53 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,148,321 | RS: 0.48 | N=17 | Held: 19
  [3/471] Sep 2017 | Eq:    2,177,613 | RS: 0.58 | N=20 | Held: 20
  [4/471] Sep 2017 | Eq:    2,255,221 | RS: 0.58 | N=20 | Held: 20
  [5/471] Sep 2017 | Eq:    2,225,732 | RS: 0.61 | N=21 | Held: 21
  [6/471] Sep 2017 | Eq:    2,225,094 | RS: 0.54 | N=19 | Held: 19
  [7/471] Sep 2017 | Eq:    2,418,155 | RS: 0.52 | N=18 | Held: 18
  [8/471] Oct 2017 | Eq:    2,493,781 | RS: 0.57 | N=20 | Held: 20
  [9/471] Oct 2017 | Eq:    2,517,826 | RS: 0.59 | N=20 | Held: 20
  [10/471] Oct 2017 | Eq:    2,576,389 | RS: 0.49 | N=17 | Held: 19
  [11/471] Oct 2017 | Eq:    2,700,046 | RS: 0.62 | N=21 | Held: 21
  [12/471] Nov 2017 | Eq:    2,699,828 | RS: 0.65 | N=22 | Held: 22
  [13/471] Nov 2017 | Eq:    2,668,877 | RS: 0.62 | N=21 | Held: 21
  [14/471] Nov 2017 | Eq:    2,697,605 | RS: 0.61 | N=21 | Held: 21
  [15/471] Nov 2017 | Eq:    2,716,430 | RS: 0.64 | N=22 | Held: 22
  [16/471] Dec 2017 | Eq:    2,755,428 | RS: 0.61 | N=21 | Held: 22
  [17/471] Dec 2017 | Eq:    2,739,960 | RS: 0.62 | N=21 | Held: 22
  [18/471] Dec 2017 | Eq:    2,864,445 | RS: 0.60 | N=21 | Held: 21
  [19/471] Dec 2017 | Eq:    2,893,619 | RS: 0.68 | N=23 | Held: 23
  [20/471] Dec 2017 | Eq:    3,024,907 | RS: 0.68 | N=23 | Held: 23
  [21/471] Jan 2018 | Eq:    3,161,292 | RS: 0.71 | N=23 | Held: 23
  [22/471] Jan 2018 | Eq:    3,052,620 | RS: 0.71 | N=23 | Held: 23
  [23/471] Jan 2018 | Eq:    3,117,072 | RS: 0.63 | N=21 | Held: 22
  [24/471] Jan 2018 | Eq:    2,824,219 | RS: 0.49 | N=18 | Held: 21
  [25/471] Feb 2018 | Eq:    2,914,964 | RS: 0.46 | N=17 | Held: 17
  [26/471] Feb 2018 | Eq:    2,928,602 | RS: 0.48 | N=17 | Held: 17
  [27/471] Feb 2018 | Eq:    2,898,578 | RS: 0.47 | N=17 | Held: 17
  [28/471] Feb 2018 | Eq:    2,891,702 | RS: 0.46 | N=17 | Held: 17
