Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Precomputing 6M/12M returns and rolling 3y weekly volatility ...
  522 weekly closes detected across full history

Starting Point-in-Time Vectorised Backtest (MSCI RAM ranking, regime held on Sharpe COMPOSITE):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    1,990,211 | RS: 0.53 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,053,822 | RS: 0.48 | N=17 | Held: 19
  [3/471] Sep 2017 | Eq:    2,088,119 | RS: 0.58 | N=20 | Held: 20
  [4/471] Sep 2017 | Eq:    2,115,053 | RS: 0.58 | N=20 | Held: 20
  [5/471] Sep 2017 | Eq:    2,059,597 | RS: 0.61 | N=21 | Held: 21
  [6/471] Sep 2017 | Eq:    2,052,658 | RS: 0.54 | N=19 | Held: 21
  [7/471] Sep 2017 | Eq:    2,117,529 | RS: 0.52 | N=18 | Held: 21
  [8/471] Oct 2017 | Eq:    2,160,490 | RS: 0.57 | N=20 | Held: 21
  [9/471] Oct 2017 | Eq:    2,164,887 | RS: 0.59 | N=20 | Held: 21
  [10/471] Oct 2017 | Eq:    2,219,261 | RS: 0.49 | N=17 | Held: 20
  [11/471] Oct 2017 | Eq:    2,252,723 | RS: 0.62 | N=21 | Held: 21
  [12/471] Nov 2017 | Eq:    2,243,548 | RS: 0.65 | N=22 | Held: 22
  [13/471] Nov 2017 | Eq:    2,285,947 | RS: 0.62 | N=21 | Held: 22
  [14/471] Nov 2017 | Eq:    2,354,682 | RS: 0.61 | N=21 | Held: 22
  [15/471] Nov 2017 | Eq:    2,320,501 | RS: 0.64 | N=22 | Held: 22
  [16/471] Dec 2017 | Eq:    2,376,899 | RS: 0.61 | N=21 | Held: 22
  [17/471] Dec 2017 | Eq:    2,398,597 | RS: 0.62 | N=21 | Held: 22
  [18/471] Dec 2017 | Eq:    2,522,608 | RS: 0.60 | N=21 | Held: 22
  [19/471] Dec 2017 | Eq:    2,566,487 | RS: 0.68 | N=23 | Held: 23
  [20/471] Dec 2017 | Eq:    2,673,293 | RS: 0.68 | N=23 | Held: 23
  [21/471] Jan 2018 | Eq:    2,681,657 | RS: 0.71 | N=23 | Held: 23
  [22/471] Jan 2018 | Eq:    2,646,803 | RS: 0.71 | N=23 | Held: 23
  [23/471] Jan 2018 | Eq:    2,651,142 | RS: 0.63 | N=21 | Held: 22
  [24/471] Jan 2018 | Eq:    2,471,691 | RS: 0.49 | N=18 | Held: 22
  [25/471] Feb 2018 | Eq:    2,490,296 | RS: 0.46 | N=17 | Held: 20
  [26/471] Feb 2018 | Eq:    2,504,612 | RS: 0.48 | N=17 | Held: 20
  [27/471] Feb 2018 | Eq:    2,511,874 | RS: 0.47 | N=17 | Held: 20
  [28/471] Feb 2018 | Eq:    2,510,320 | RS: 0.46 | N=17 | Held: 20
  [29/471] Mar 2018 | Eq:    2,371,114 | RS: 0.48 | N=17 | Held: 20
  [30/471] Mar 2018 | Eq:    2,379,548 | RS: 0.40 | N=15 | Held: 18
  [31/471] Mar 2018 | Eq:    2,306,632 | RS: 0.41 | N=16 | Held: 18
  [32/471] Mar 2018 | Eq:    2,308,757 | RS: 0.35 | N=14 | Held: 16
  [33/471] Mar 2018 | Eq:    2,364,676 | RS: 0.47 | N=17 | Held: 17
  [34/471] Apr 2018 | Eq:    2,377,621 | RS: 0.49 | N=17 | Held: 17
  [35/471] Apr 2018 | Eq:    2,386,116 | RS: 0.49 | N=18 | Held: 18
  [36/471] Apr 2018 | Eq:    2,430,925 | RS: 0.52 | N=18 | Held: 18
  [37/471] Apr 2018 | Eq:    2,396,046 | RS: 0.52 | N=18 | Held: 18
  [38/471] May 2018 | Eq:    2,381,343 | RS: 0.47 | N=17 | Held: 17
  [39/471] May 2018 | Eq:    2,330,175 | RS: 0.45 | N=17 | Held: 17
  [40/471] May 2018 | Eq:    2,307,074 | RS: 0.40 | N=15 | Held: 15
  [41/471] May 2018 | Eq:    2,309,199 | RS: 0.39 | N=15 | Held: 13
  [42/471] Jun 2018 | Eq:    2,311,788 | RS: 0.40 | N=15 | Held: 13
  [43/471] Jun 2018 | Eq:    2,347,539 | RS: 0.40 | N=15 | Held: 15
  [44/471] Jun 2018 | Eq:    2,343,537 | RS: 0.40 | N=15 | Held: 15
  [45/471] Jun 2018 | Eq:    2,346,165 | RS: 0.36 | N=14 | Held: 15
  [46/471] Jun 2018 | Eq:    2,348,326 | RS: 0.33 | N=13 | Held: 13
  [47/471] Jul 2018 | Eq:    2,350,959 | RS: 0.33 | N=13 | Held: 13
  [48/471] Jul 2018 | Eq:    2,353,595 | RS: 0.34 | N=14 | Held: 13
  [49/471] Jul 2018 | Eq:    2,355,763 | RS: 0.32 | N=13 | Held: 11
  [50/471] Jul 2018 | Eq:    2,435,650 | RS: 0.41 | N=15 | Held: 15
  [51/471] Aug 2018 | Eq:    2,403,775 | RS: 0.47 | N=17 | Held: 17
  [52/471] Aug 2018 | Eq:    2,411,332 | RS: 0.43 | N=16 | Held: 16
  [53/471] Aug 2018 | Eq:    2,420,102 | RS: 0.42 | N=16 | Held: 16
  [54/471] Aug 2018 | Eq:    2,444,141 | RS: 0.43 | N=16 | Held: 16
  [55/471] Aug 2018 | Eq:    2,410,156 | RS: 0.47 | N=17 | Held: 17
  [56/471] Sep 2018 | Eq:    2,396,663 | RS: 0.44 | N=16 | Held: 17
  [57/471] Sep 2018 | Eq:    2,331,536 | RS: 0.43 | N=16 | Held: 17
  [58/471] Sep 2018 | Eq:    2,333,917 | RS: 0.35 | N=14 | Held: 16
  [59/471] Sep 2018 | Eq:    2,335,600 | RS: 0.28 | N=12 | Held: 12
  [60/471] Oct 2018 | Eq:    2,337,985 | RS: 0.25 | N=11 | Held: 11
  [61/471] Oct 2018 | Eq:    2,340,607 | RS: 0.26 | N=12 | Held: 11
  [62/471] Oct 2018 | Eq:    2,342,997 | RS: 0.26 | N=11 | Held: 10
  [63/471] Oct 2018 | Eq:    2,345,155 | RS: 0.25 | N=11 | Held:  8
  [64/471] Nov 2018 | Eq:    2,347,784 | RS: 0.34 | N=13 | Held:  8
  [65/471] Nov 2018 | Eq:    2,350,417 | RS: 0.37 | N=14 | Held:  8
  [66/471] Nov 2018 | Eq:    2,353,052 | RS: 0.36 | N=14 | Held:  8
  [67/471] Nov 2018 | Eq:    2,393,918 | RS: 0.46 | N=17 | Held: 17
  [68/471] Nov 2018 | Eq:    2,396,363 | RS: 0.37 | N=14 | Held: 16
  [69/471] Dec 2018 | Eq:    2,399,049 | RS: 0.34 | N=13 | Held: 16
  [70/471] Dec 2018 | Eq:    2,367,399 | RS: 0.40 | N=15 | Held: 16
  [71/471] Dec 2018 | Eq:    2,367,427 | RS: 0.41 | N=15 | Held: 15
  [72/471] Dec 2018 | Eq:    2,339,223 | RS: 0.41 | N=15 | Held: 15
  [73/471] Jan 2019 | Eq:    2,341,789 | RS: 0.39 | N=15 | Held: 15
  [74/471] Jan 2019 | Eq:    2,344,293 | RS: 0.40 | N=15 | Held: 15
  [75/471] Jan 2019 | Eq:    2,346,452 | RS: 0.37 | N=14 | Held: 13
  [76/471] Jan 2019 | Eq:    2,348,383 | RS: 0.32 | N=13 | Held: 10
  [77/471] Feb 2019 | Eq:    2,350,752 | RS: 0.33 | N=13 | Held:  9
  [78/471] Feb 2019 | Eq:    2,353,215 | RS: 0.32 | N=13 | Held:  8
  [79/471] Feb 2019 | Eq:    2,355,854 | RS: 0.29 | N=12 | Held:  8
  [80/471] Feb 2019 | Eq:    2,358,024 | RS: 0.32 | N=13 | Held:  6
  [81/471] Mar 2019 | Eq:    2,386,872 | RS: 0.41 | N=15 | Held: 15
  [82/471] Mar 2019 | Eq:    2,394,656 | RS: 0.47 | N=17 | Held: 17
  [83/471] Mar 2019 | Eq:    2,395,073 | RS: 0.51 | N=18 | Held: 18
  [84/471] Mar 2019 | Eq:    2,414,905 | RS: 0.48 | N=17 | Held: 17
