Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Precomputing 6M/12M returns and rolling 3y weekly volatility ...
  522 weekly closes detected across full history

Starting Point-in-Time Vectorised Backtest (MSCI-style Risk-Adjusted Momentum):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    1,992,725 | RS: 0.47 | N=17 | Held: 17
  [2/471] Aug 2017 | Eq:    2,047,768 | RS: 0.43 | N=16 | Held: 17
  [3/471] Sep 2017 | Eq:    2,078,773 | RS: 0.53 | N=19 | Held: 19
  [4/471] Sep 2017 | Eq:    2,095,265 | RS: 0.53 | N=19 | Held: 19
  [5/471] Sep 2017 | Eq:    2,047,004 | RS: 0.56 | N=19 | Held: 19
  [6/471] Sep 2017 | Eq:    2,047,173 | RS: 0.49 | N=18 | Held: 19
  [7/471] Sep 2017 | Eq:    2,106,372 | RS: 0.47 | N=17 | Held: 19
  [8/471] Oct 2017 | Eq:    2,148,447 | RS: 0.52 | N=18 | Held: 19
  [9/471] Oct 2017 | Eq:    2,151,044 | RS: 0.54 | N=19 | Held: 19
  [10/471] Oct 2017 | Eq:    2,214,244 | RS: 0.44 | N=16 | Held: 18
  [11/471] Oct 2017 | Eq:    2,249,838 | RS: 0.58 | N=20 | Held: 20
  [12/471] Nov 2017 | Eq:    2,236,772 | RS: 0.61 | N=21 | Held: 21
  [13/471] Nov 2017 | Eq:    2,283,301 | RS: 0.57 | N=20 | Held: 21
  [14/471] Nov 2017 | Eq:    2,356,308 | RS: 0.56 | N=19 | Held: 21
  [15/471] Nov 2017 | Eq:    2,313,459 | RS: 0.60 | N=20 | Held: 21
  [16/471] Dec 2017 | Eq:    2,373,995 | RS: 0.56 | N=20 | Held: 21
  [17/471] Dec 2017 | Eq:    2,398,717 | RS: 0.57 | N=20 | Held: 21
  [18/471] Dec 2017 | Eq:    2,525,757 | RS: 0.56 | N=19 | Held: 21
  [19/471] Dec 2017 | Eq:    2,570,436 | RS: 0.64 | N=22 | Held: 22
  [20/471] Dec 2017 | Eq:    2,664,246 | RS: 0.64 | N=22 | Held: 22
  [21/471] Jan 2018 | Eq:    2,676,267 | RS: 0.67 | N=22 | Held: 22
  [22/471] Jan 2018 | Eq:    2,624,969 | RS: 0.66 | N=22 | Held: 22
  [23/471] Jan 2018 | Eq:    2,628,074 | RS: 0.59 | N=20 | Held: 21
  [24/471] Jan 2018 | Eq:    2,461,741 | RS: 0.45 | N=16 | Held: 21
  [25/471] Feb 2018 | Eq:    2,482,351 | RS: 0.41 | N=16 | Held: 19
  [26/471] Feb 2018 | Eq:    2,498,260 | RS: 0.43 | N=16 | Held: 19
  [27/471] Feb 2018 | Eq:    2,510,124 | RS: 0.42 | N=16 | Held: 19
  [28/471] Feb 2018 | Eq:    2,504,187 | RS: 0.41 | N=15 | Held: 19
  [29/471] Mar 2018 | Eq:    2,374,145 | RS: 0.42 | N=16 | Held: 19
  [30/471] Mar 2018 | Eq:    2,376,332 | RS: 0.34 | N=14 | Held: 17
  [31/471] Mar 2018 | Eq:    2,378,997 | RS: 0.36 | N=14 | Held: 17
  [32/471] Mar 2018 | Eq:    2,381,426 | RS: 0.29 | N=12 | Held: 16
  [33/471] Mar 2018 | Eq:    2,441,279 | RS: 0.40 | N=15 | Held: 16
  [34/471] Apr 2018 | Eq:    2,457,136 | RS: 0.43 | N=16 | Held: 16
  [35/471] Apr 2018 | Eq:    2,471,867 | RS: 0.43 | N=16 | Held: 16
  [36/471] Apr 2018 | Eq:    2,514,730 | RS: 0.46 | N=17 | Held: 17
  [37/471] Apr 2018 | Eq:    2,479,077 | RS: 0.46 | N=17 | Held: 17
  [38/471] May 2018 | Eq:    2,467,982 | RS: 0.41 | N=15 | Held: 16
  [39/471] May 2018 | Eq:    2,470,749 | RS: 0.39 | N=15 | Held: 16
  [40/471] May 2018 | Eq:    2,472,778 | RS: 0.33 | N=13 | Held: 13
  [41/471] May 2018 | Eq:    2,475,550 | RS: 0.32 | N=13 | Held: 13
  [42/471] Jun 2018 | Eq:    2,478,326 | RS: 0.33 | N=13 | Held: 13
  [43/471] Jun 2018 | Eq:    2,480,609 | RS: 0.34 | N=13 | Held: 11
  [44/471] Jun 2018 | Eq:    2,483,390 | RS: 0.34 | N=14 | Held: 11
  [45/471] Jun 2018 | Eq:    2,486,174 | RS: 0.30 | N=12 | Held: 11
  [46/471] Jun 2018 | Eq:    2,488,465 | RS: 0.26 | N=11 | Held:  9
  [47/471] Jul 2018 | Eq:    2,491,255 | RS: 0.26 | N=11 | Held:  9
  [48/471] Jul 2018 | Eq:    2,494,048 | RS: 0.27 | N=12 | Held:  9
  [49/471] Jul 2018 | Eq:    2,496,595 | RS: 0.24 | N=11 | Held:  8
  [50/471] Jul 2018 | Eq:    2,499,394 | RS: 0.34 | N=14 | Held:  8
  [51/471] Aug 2018 | Eq:    2,478,065 | RS: 0.40 | N=15 | Held: 15
  [52/471] Aug 2018 | Eq:    2,480,596 | RS: 0.37 | N=14 | Held: 14
  [53/471] Aug 2018 | Eq:    2,482,881 | RS: 0.36 | N=14 | Held: 12
  [54/471] Aug 2018 | Eq:    2,485,665 | RS: 0.36 | N=14 | Held: 12
  [55/471] Aug 2018 | Eq:    2,435,097 | RS: 0.41 | N=15 | Held: 15
  [56/471] Sep 2018 | Eq:    2,437,584 | RS: 0.37 | N=14 | Held: 14
  [57/471] Sep 2018 | Eq:    2,440,317 | RS: 0.36 | N=14 | Held: 14
  [58/471] Sep 2018 | Eq:    2,442,809 | RS: 0.27 | N=12 | Held: 13
  [59/471] Sep 2018 | Eq:    2,444,815 | RS: 0.18 | N= 9 | Held: 10
  [60/471] Oct 2018 | Eq:    2,447,311 | RS: 0.14 | N= 8 | Held:  9
  [61/471] Oct 2018 | Eq:    2,450,055 | RS: 0.16 | N= 9 | Held:  9
  [62/471] Oct 2018 | Eq:    2,452,557 | RS: 0.16 | N= 9 | Held:  8
  [63/471] Oct 2018 | Eq:    2,454,816 | RS: 0.13 | N= 8 | Held:  6
  [64/471] Nov 2018 | Eq:    2,457,569 | RS: 0.24 | N=11 | Held:  6
  [65/471] Nov 2018 | Eq:    2,460,324 | RS: 0.28 | N=12 | Held:  6
  [66/471] Nov 2018 | Eq:    2,463,083 | RS: 0.27 | N=12 | Held:  6
  [67/471] Nov 2018 | Eq:    2,465,844 | RS: 0.36 | N=14 | Held:  6
  [68/471] Nov 2018 | Eq:    2,468,609 | RS: 0.28 | N=12 | Held:  6
  [69/471] Dec 2018 | Eq:    2,471,377 | RS: 0.23 | N=11 | Held:  6
  [70/471] Dec 2018 | Eq:    2,474,147 | RS: 0.31 | N=13 | Held:  6
  [71/471] Dec 2018 | Eq:    2,476,427 | RS: 0.35 | N=14 | Held:  4
  [72/471] Dec 2018 | Eq:    2,479,203 | RS: 0.34 | N=14 | Held:  4
  [73/471] Jan 2019 | Eq:    2,481,983 | RS: 0.32 | N=13 | Held:  4
  [74/471] Jan 2019 | Eq:    2,484,766 | RS: 0.33 | N=13 | Held:  4
