Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Equal-Weighted Signals + entry=0.35/full=0.66):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,012,054 | RS: 0.52 | N=20 | Held: 20
  [2/471] Aug 2017 | Eq:    2,088,265 | RS: 0.47 | N=19 | Held: 20
  [3/471] Sep 2017 | Eq:    2,144,125 | RS: 0.56 | N=21 | Held: 21
  [4/471] Sep 2017 | Eq:    2,206,113 | RS: 0.56 | N=21 | Held: 21
  [5/471] Sep 2017 | Eq:    2,173,966 | RS: 0.57 | N=22 | Held: 22
  [6/471] Sep 2017 | Eq:    2,177,471 | RS: 0.52 | N=20 | Held: 20
  [7/471] Sep 2017 | Eq:    2,317,682 | RS: 0.50 | N=20 | Held: 20
  [8/471] Oct 2017 | Eq:    2,394,935 | RS: 0.55 | N=21 | Held: 21
  [9/471] Oct 2017 | Eq:    2,413,377 | RS: 0.56 | N=22 | Held: 22
  [10/471] Oct 2017 | Eq:    2,450,991 | RS: 0.47 | N=19 | Held: 21
  [11/471] Oct 2017 | Eq:    2,529,952 | RS: 0.58 | N=22 | Held: 22
  [12/471] Nov 2017 | Eq:    2,576,904 | RS: 0.60 | N=23 | Held: 23
  [13/471] Nov 2017 | Eq:    2,540,019 | RS: 0.58 | N=22 | Held: 22
  [14/471] Nov 2017 | Eq:    2,571,807 | RS: 0.57 | N=22 | Held: 22
  [15/471] Nov 2017 | Eq:    2,567,155 | RS: 0.60 | N=23 | Held: 23
  [16/471] Dec 2017 | Eq:    2,600,647 | RS: 0.58 | N=22 | Held: 22
  [17/471] Dec 2017 | Eq:    2,586,508 | RS: 0.58 | N=22 | Held: 22
  [18/471] Dec 2017 | Eq:    2,681,394 | RS: 0.57 | N=22 | Held: 22
  [19/471] Dec 2017 | Eq:    2,696,088 | RS: 0.63 | N=24 | Held: 24
  [20/471] Dec 2017 | Eq:    2,781,818 | RS: 0.63 | N=24 | Held: 24
  [21/471] Jan 2018 | Eq:    2,848,215 | RS: 0.65 | N=24 | Held: 24
  [22/471] Jan 2018 | Eq:    2,775,469 | RS: 0.65 | N=24 | Held: 24
  [23/471] Jan 2018 | Eq:    2,788,202 | RS: 0.60 | N=23 | Held: 23
  [24/471] Jan 2018 | Eq:    2,518,707 | RS: 0.47 | N=19 | Held: 21
  [25/471] Feb 2018 | Eq:    2,581,708 | RS: 0.47 | N=19 | Held: 19
  [26/471] Feb 2018 | Eq:    2,565,956 | RS: 0.48 | N=19 | Held: 19
  [27/471] Feb 2018 | Eq:    2,531,063 | RS: 0.48 | N=19 | Held: 19
  [28/471] Feb 2018 | Eq:    2,514,501 | RS: 0.47 | N=19 | Held: 19
  [29/471] Mar 2018 | Eq:    2,435,834 | RS: 0.47 | N=19 | Held: 19
  [30/471] Mar 2018 | Eq:    2,464,555 | RS: 0.42 | N=17 | Held: 17
  [31/471] Mar 2018 | Eq:    2,395,875 | RS: 0.43 | N=18 | Held: 18
  [32/471] Mar 2018 | Eq:    2,410,753 | RS: 0.38 | N=16 | Held: 16
  [33/471] Mar 2018 | Eq:    2,482,577 | RS: 0.46 | N=18 | Held: 18
  [34/471] Apr 2018 | Eq:    2,491,874 | RS: 0.48 | N=19 | Held: 19
  [35/471] Apr 2018 | Eq:    2,544,107 | RS: 0.48 | N=19 | Held: 19
  [36/471] Apr 2018 | Eq:    2,601,977 | RS: 0.50 | N=20 | Held: 20
  [37/471] Apr 2018 | Eq:    2,547,601 | RS: 0.50 | N=20 | Held: 20
  [38/471] May 2018 | Eq:    2,574,498 | RS: 0.47 | N=19 | Held: 19
  [39/471] May 2018 | Eq:    2,610,910 | RS: 0.46 | N=18 | Held: 19
  [40/471] May 2018 | Eq:    2,647,598 | RS: 0.42 | N=17 | Held: 18
  [41/471] May 2018 | Eq:    2,628,576 | RS: 0.41 | N=17 | Held: 17
  [42/471] Jun 2018 | Eq:    2,603,040 | RS: 0.41 | N=17 | Held: 17
  [43/471] Jun 2018 | Eq:    2,627,017 | RS: 0.41 | N=17 | Held: 17
  [44/471] Jun 2018 | Eq:    2,614,776 | RS: 0.41 | N=17 | Held: 17
  [45/471] Jun 2018 | Eq:    2,619,000 | RS: 0.38 | N=16 | Held: 16
  [46/471] Jun 2018 | Eq:    2,618,665 | RS: 0.36 | N=15 | Held: 16
  [47/471] Jul 2018 | Eq:    2,685,004 | RS: 0.36 | N=15 | Held: 15
  [48/471] Jul 2018 | Eq:    2,655,089 | RS: 0.37 | N=16 | Held: 16
  [49/471] Jul 2018 | Eq:    2,657,808 | RS: 0.35 | N=15 | Held: 15
  [50/471] Jul 2018 | Eq:    2,685,167 | RS: 0.41 | N=17 | Held: 17
  [51/471] Aug 2018 | Eq:    2,678,299 | RS: 0.45 | N=18 | Held: 18
  [52/471] Aug 2018 | Eq:    2,720,455 | RS: 0.42 | N=17 | Held: 17
  [53/471] Aug 2018 | Eq:    2,732,438 | RS: 0.42 | N=17 | Held: 17
  [54/471] Aug 2018 | Eq:    2,769,058 | RS: 0.42 | N=17 | Held: 17
  [55/471] Aug 2018 | Eq:    2,687,136 | RS: 0.45 | N=18 | Held: 18
  [56/471] Sep 2018 | Eq:    2,662,911 | RS: 0.43 | N=18 | Held: 18
  [57/471] Sep 2018 | Eq:    2,524,391 | RS: 0.43 | N=17 | Held: 17
  [58/471] Sep 2018 | Eq:    2,338,300 | RS: 0.37 | N=16 | Held: 16
  [59/471] Sep 2018 | Eq:    2,339,798 | RS: 0.33 | N=15 | Held: 11
  [60/471] Oct 2018 | Eq:    2,341,734 | RS: 0.32 | N=14 | Held:  8
  [61/471] Oct 2018 | Eq:    2,344,125 | RS: 0.32 | N=14 | Held:  7
  [62/471] Oct 2018 | Eq:    2,346,753 | RS: 0.31 | N=14 | Held:  7
  [63/471] Oct 2018 | Eq:    2,349,150 | RS: 0.32 | N=14 | Held:  6
  [64/471] Nov 2018 | Eq:    2,333,434 | RS: 0.36 | N=16 | Held: 16
  [65/471] Nov 2018 | Eq:    2,281,884 | RS: 0.39 | N=16 | Held: 16
  [66/471] Nov 2018 | Eq:    2,267,635 | RS: 0.38 | N=16 | Held: 16
