Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Equal-Weighted Regime Signals {'ema50_breadth': 0.25, 'ema_trend_breadth': 0.25, 'breadth': 0.25, 'momentum': 0.25}):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,006,410 | RS: 0.52 | N=18 | Held: 18
  [2/471] Aug 2017 | Eq:    2,086,006 | RS: 0.47 | N=17 | Held: 18
  [3/471] Sep 2017 | Eq:    2,139,792 | RS: 0.56 | N=19 | Held: 19
  [4/471] Sep 2017 | Eq:    2,204,762 | RS: 0.56 | N=19 | Held: 19
  [5/471] Sep 2017 | Eq:    2,182,983 | RS: 0.57 | N=20 | Held: 20
  [6/471] Sep 2017 | Eq:    2,189,313 | RS: 0.52 | N=18 | Held: 19
  [7/471] Sep 2017 | Eq:    2,342,656 | RS: 0.50 | N=18 | Held: 18
  [8/471] Oct 2017 | Eq:    2,418,511 | RS: 0.55 | N=19 | Held: 19
  [9/471] Oct 2017 | Eq:    2,454,098 | RS: 0.56 | N=19 | Held: 19
  [10/471] Oct 2017 | Eq:    2,482,538 | RS: 0.47 | N=17 | Held: 19
  [11/471] Oct 2017 | Eq:    2,569,782 | RS: 0.58 | N=20 | Held: 20
  [12/471] Nov 2017 | Eq:    2,582,148 | RS: 0.60 | N=21 | Held: 21
  [13/471] Nov 2017 | Eq:    2,551,078 | RS: 0.58 | N=20 | Held: 20
  [14/471] Nov 2017 | Eq:    2,577,078 | RS: 0.57 | N=20 | Held: 20
  [15/471] Nov 2017 | Eq:    2,575,975 | RS: 0.60 | N=20 | Held: 20
  [16/471] Dec 2017 | Eq:    2,600,878 | RS: 0.58 | N=20 | Held: 20
  [17/471] Dec 2017 | Eq:    2,589,203 | RS: 0.58 | N=20 | Held: 20
  [18/471] Dec 2017 | Eq:    2,673,615 | RS: 0.57 | N=20 | Held: 20
  [19/471] Dec 2017 | Eq:    2,671,005 | RS: 0.63 | N=21 | Held: 21
  [20/471] Dec 2017 | Eq:    2,771,873 | RS: 0.63 | N=21 | Held: 21
  [21/471] Jan 2018 | Eq:    2,845,283 | RS: 0.65 | N=22 | Held: 22
  [22/471] Jan 2018 | Eq:    2,784,317 | RS: 0.65 | N=22 | Held: 22
  [23/471] Jan 2018 | Eq:    2,800,583 | RS: 0.60 | N=20 | Held: 20
  [24/471] Jan 2018 | Eq:    2,536,783 | RS: 0.47 | N=17 | Held: 19
  [25/471] Feb 2018 | Eq:    2,598,134 | RS: 0.47 | N=17 | Held: 17
  [26/471] Feb 2018 | Eq:    2,579,498 | RS: 0.48 | N=17 | Held: 17
  [27/471] Feb 2018 | Eq:    2,540,694 | RS: 0.48 | N=17 | Held: 17
  [28/471] Feb 2018 | Eq:    2,526,865 | RS: 0.47 | N=17 | Held: 17
  [29/471] Mar 2018 | Eq:    2,445,565 | RS: 0.47 | N=17 | Held: 17
  [30/471] Mar 2018 | Eq:    2,469,520 | RS: 0.42 | N=16 | Held: 16
  [31/471] Mar 2018 | Eq:    2,411,957 | RS: 0.43 | N=16 | Held: 16
  [32/471] Mar 2018 | Eq:    2,414,170 | RS: 0.38 | N=15 | Held: 14
  [33/471] Mar 2018 | Eq:    2,475,434 | RS: 0.46 | N=17 | Held: 17
  [34/471] Apr 2018 | Eq:    2,481,386 | RS: 0.48 | N=17 | Held: 17
  [35/471] Apr 2018 | Eq:    2,532,833 | RS: 0.48 | N=17 | Held: 17
  [36/471] Apr 2018 | Eq:    2,584,275 | RS: 0.50 | N=18 | Held: 18
  [37/471] Apr 2018 | Eq:    2,529,335 | RS: 0.50 | N=18 | Held: 18
  [38/471] May 2018 | Eq:    2,565,723 | RS: 0.47 | N=17 | Held: 17
  [39/471] May 2018 | Eq:    2,600,071 | RS: 0.46 | N=17 | Held: 17
  [40/471] May 2018 | Eq:    2,629,935 | RS: 0.42 | N=16 | Held: 16
  [41/471] May 2018 | Eq:    2,612,753 | RS: 0.41 | N=15 | Held: 15
  [42/471] Jun 2018 | Eq:    2,598,541 | RS: 0.41 | N=15 | Held: 15
  [43/471] Jun 2018 | Eq:    2,623,282 | RS: 0.41 | N=16 | Held: 16
  [44/471] Jun 2018 | Eq:    2,597,495 | RS: 0.41 | N=15 | Held: 16
  [45/471] Jun 2018 | Eq:    2,600,326 | RS: 0.38 | N=15 | Held: 16
  [46/471] Jun 2018 | Eq:    2,603,154 | RS: 0.36 | N=14 | Held: 16
  [47/471] Jul 2018 | Eq:    2,605,771 | RS: 0.36 | N=14 | Held: 15
  [48/471] Jul 2018 | Eq:    2,608,153 | RS: 0.37 | N=14 | Held: 13
  [49/471] Jul 2018 | Eq:    2,610,781 | RS: 0.35 | N=14 | Held: 12
  [50/471] Jul 2018 | Eq:    2,640,021 | RS: 0.41 | N=15 | Held: 15
  [51/471] Aug 2018 | Eq:    2,619,590 | RS: 0.45 | N=16 | Held: 16
  [52/471] Aug 2018 | Eq:    2,658,674 | RS: 0.42 | N=16 | Held: 16
  [53/471] Aug 2018 | Eq:    2,671,722 | RS: 0.42 | N=16 | Held: 16
  [54/471] Aug 2018 | Eq:    2,707,116 | RS: 0.42 | N=16 | Held: 16
  [55/471] Aug 2018 | Eq:    2,632,855 | RS: 0.45 | N=17 | Held: 17
  [56/471] Sep 2018 | Eq:    2,606,836 | RS: 0.43 | N=16 | Held: 16
  [57/471] Sep 2018 | Eq:    2,499,055 | RS: 0.43 | N=16 | Held: 16
  [58/471] Sep 2018 | Eq:    2,500,937 | RS: 0.37 | N=14 | Held: 13
  [59/471] Sep 2018 | Eq:    2,502,713 | RS: 0.33 | N=13 | Held:  9
  [60/471] Oct 2018 | Eq:    2,504,769 | RS: 0.32 | N=13 | Held:  6
  [61/471] Oct 2018 | Eq:    2,507,326 | RS: 0.32 | N=13 | Held:  5
  [62/471] Oct 2018 | Eq:    2,510,138 | RS: 0.31 | N=13 | Held:  5
  [63/471] Oct 2018 | Eq:    2,512,701 | RS: 0.32 | N=13 | Held:  4
  [64/471] Nov 2018 | Eq:    2,515,267 | RS: 0.36 | N=14 | Held:  3
  [65/471] Nov 2018 | Eq:    2,518,087 | RS: 0.39 | N=15 | Held:  3
  [66/471] Nov 2018 | Eq:    2,520,406 | RS: 0.38 | N=15 | Held:  1
  [67/471] Nov 2018 | Eq:    2,517,469 | RS: 0.47 | N=17 | Held: 17
  [68/471] Nov 2018 | Eq:    2,520,189 | RS: 0.39 | N=15 | Held: 17
  [69/471] Dec 2018 | Eq:    2,522,973 | RS: 0.37 | N=14 | Held: 17
  [70/471] Dec 2018 | Eq:    2,517,288 | RS: 0.41 | N=16 | Held: 16
  [71/471] Dec 2018 | Eq:    2,494,841 | RS: 0.41 | N=16 | Held: 16
