Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Momentum breadth threshold = 1.0):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,009,447 | RS: 0.56 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,085,844 | RS: 0.52 | N=18 | Held: 19
  [3/471] Sep 2017 | Eq:    2,140,480 | RS: 0.61 | N=21 | Held: 21
  [4/471] Sep 2017 | Eq:    2,212,703 | RS: 0.62 | N=21 | Held: 21
  [5/471] Sep 2017 | Eq:    2,180,122 | RS: 0.65 | N=22 | Held: 22
  [6/471] Sep 2017 | Eq:    2,184,359 | RS: 0.57 | N=20 | Held: 20
  [7/471] Sep 2017 | Eq:    2,335,772 | RS: 0.56 | N=19 | Held: 19
  [8/471] Oct 2017 | Eq:    2,403,978 | RS: 0.61 | N=21 | Held: 21
  [9/471] Oct 2017 | Eq:    2,435,520 | RS: 0.63 | N=21 | Held: 21
  [10/471] Oct 2017 | Eq:    2,471,909 | RS: 0.52 | N=18 | Held: 21
  [11/471] Oct 2017 | Eq:    2,549,786 | RS: 0.65 | N=22 | Held: 22
  [12/471] Nov 2017 | Eq:    2,585,790 | RS: 0.69 | N=23 | Held: 23
  [13/471] Nov 2017 | Eq:    2,550,346 | RS: 0.65 | N=22 | Held: 22
  [14/471] Nov 2017 | Eq:    2,582,323 | RS: 0.64 | N=22 | Held: 22
  [15/471] Nov 2017 | Eq:    2,575,061 | RS: 0.67 | N=22 | Held: 22
  [16/471] Dec 2017 | Eq:    2,608,357 | RS: 0.64 | N=22 | Held: 22
  [17/471] Dec 2017 | Eq:    2,594,176 | RS: 0.65 | N=22 | Held: 22
  [18/471] Dec 2017 | Eq:    2,689,344 | RS: 0.64 | N=22 | Held: 22
  [19/471] Dec 2017 | Eq:    2,704,081 | RS: 0.72 | N=24 | Held: 24
  [20/471] Dec 2017 | Eq:    2,790,065 | RS: 0.72 | N=24 | Held: 24
  [21/471] Jan 2018 | Eq:    2,851,231 | RS: 0.75 | N=25 | Held: 25
  [22/471] Jan 2018 | Eq:    2,776,762 | RS: 0.75 | N=24 | Held: 24
  [23/471] Jan 2018 | Eq:    2,786,320 | RS: 0.67 | N=22 | Held: 22
  [24/471] Jan 2018 | Eq:    2,520,201 | RS: 0.53 | N=19 | Held: 20
  [25/471] Feb 2018 | Eq:    2,578,074 | RS: 0.50 | N=18 | Held: 18
  [26/471] Feb 2018 | Eq:    2,557,287 | RS: 0.52 | N=18 | Held: 18
  [27/471] Feb 2018 | Eq:    2,523,782 | RS: 0.51 | N=18 | Held: 18
  [28/471] Feb 2018 | Eq:    2,510,606 | RS: 0.50 | N=18 | Held: 18
  [29/471] Mar 2018 | Eq:    2,435,260 | RS: 0.52 | N=18 | Held: 18
  [30/471] Mar 2018 | Eq:    2,459,359 | RS: 0.44 | N=16 | Held: 16
  [31/471] Mar 2018 | Eq:    2,398,112 | RS: 0.45 | N=17 | Held: 17
  [32/471] Mar 2018 | Eq:    2,400,320 | RS: 0.39 | N=15 | Held: 15
  [33/471] Mar 2018 | Eq:    2,472,966 | RS: 0.50 | N=18 | Held: 18
  [34/471] Apr 2018 | Eq:    2,481,390 | RS: 0.52 | N=18 | Held: 18
  [35/471] Apr 2018 | Eq:    2,522,149 | RS: 0.53 | N=19 | Held: 19
  [36/471] Apr 2018 | Eq:    2,578,012 | RS: 0.55 | N=19 | Held: 19
  [37/471] Apr 2018 | Eq:    2,524,836 | RS: 0.55 | N=19 | Held: 19
  [38/471] May 2018 | Eq:    2,557,156 | RS: 0.50 | N=18 | Held: 18
  [39/471] May 2018 | Eq:    2,598,949 | RS: 0.49 | N=18 | Held: 18
  [40/471] May 2018 | Eq:    2,629,295 | RS: 0.45 | N=16 | Held: 17
  [41/471] May 2018 | Eq:    2,614,063 | RS: 0.43 | N=16 | Held: 16
  [42/471] Jun 2018 | Eq:    2,595,821 | RS: 0.44 | N=16 | Held: 16
  [43/471] Jun 2018 | Eq:    2,618,920 | RS: 0.44 | N=16 | Held: 16
  [44/471] Jun 2018 | Eq:    2,624,190 | RS: 0.45 | N=16 | Held: 16
  [45/471] Jun 2018 | Eq:    2,624,250 | RS: 0.41 | N=15 | Held: 16
  [46/471] Jun 2018 | Eq:    2,627,121 | RS: 0.38 | N=15 | Held: 16
  [47/471] Jul 2018 | Eq:    2,629,780 | RS: 0.38 | N=15 | Held: 15
  [48/471] Jul 2018 | Eq:    2,632,199 | RS: 0.39 | N=15 | Held: 13
  [49/471] Jul 2018 | Eq:    2,634,874 | RS: 0.36 | N=14 | Held: 12
  [50/471] Jul 2018 | Eq:    2,653,491 | RS: 0.45 | N=17 | Held: 17
  [51/471] Aug 2018 | Eq:    2,655,065 | RS: 0.51 | N=18 | Held: 18
  [52/471] Aug 2018 | Eq:    2,704,499 | RS: 0.47 | N=17 | Held: 17
  [53/471] Aug 2018 | Eq:    2,728,004 | RS: 0.46 | N=17 | Held: 17
  [54/471] Aug 2018 | Eq:    2,769,828 | RS: 0.47 | N=17 | Held: 17
  [55/471] Aug 2018 | Eq:    2,688,645 | RS: 0.52 | N=18 | Held: 18
  [56/471] Sep 2018 | Eq:    2,656,477 | RS: 0.48 | N=17 | Held: 17
  [57/471] Sep 2018 | Eq:    2,510,852 | RS: 0.47 | N=17 | Held: 17
  [58/471] Sep 2018 | Eq:    2,512,591 | RS: 0.39 | N=15 | Held: 14
  [59/471] Sep 2018 | Eq:    2,514,200 | RS: 0.31 | N=13 | Held:  9
  [60/471] Oct 2018 | Eq:    2,516,265 | RS: 0.28 | N=12 | Held:  6
  [61/471] Oct 2018 | Eq:    2,518,835 | RS: 0.30 | N=12 | Held:  5
  [62/471] Oct 2018 | Eq:    2,521,659 | RS: 0.30 | N=13 | Held:  5
  [63/471] Oct 2018 | Eq:    2,524,234 | RS: 0.27 | N=12 | Held:  4
  [64/471] Nov 2018 | Eq:    2,526,811 | RS: 0.37 | N=14 | Held:  3
  [65/471] Nov 2018 | Eq:    2,505,524 | RS: 0.41 | N=15 | Held: 15
  [66/471] Nov 2018 | Eq:    2,478,359 | RS: 0.40 | N=15 | Held: 15
