Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest:
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,012,054 | RS: 0.53 | N=20 | Held: 20
  [2/471] Aug 2017 | Eq:    2,088,265 | RS: 0.48 | N=19 | Held: 20
  [3/471] Sep 2017 | Eq:    2,145,266 | RS: 0.58 | N=22 | Held: 22
  [4/471] Sep 2017 | Eq:    2,215,411 | RS: 0.58 | N=22 | Held: 22
  [5/471] Sep 2017 | Eq:    2,181,841 | RS: 0.61 | N=23 | Held: 23
  [6/471] Sep 2017 | Eq:    2,183,643 | RS: 0.54 | N=21 | Held: 21
  [7/471] Sep 2017 | Eq:    2,332,499 | RS: 0.52 | N=20 | Held: 20
  [8/471] Oct 2017 | Eq:    2,399,516 | RS: 0.57 | N=22 | Held: 22
  [9/471] Oct 2017 | Eq:    2,418,493 | RS: 0.59 | N=23 | Held: 23
  [10/471] Oct 2017 | Eq:    2,461,060 | RS: 0.49 | N=19 | Held: 22
  [11/471] Oct 2017 | Eq:    2,539,802 | RS: 0.62 | N=23 | Held: 23
  [12/471] Nov 2017 | Eq:    2,589,138 | RS: 0.65 | N=24 | Held: 24
  [13/471] Nov 2017 | Eq:    2,558,436 | RS: 0.62 | N=23 | Held: 23
  [14/471] Nov 2017 | Eq:    2,599,514 | RS: 0.61 | N=23 | Held: 23
  [15/471] Nov 2017 | Eq:    2,600,766 | RS: 0.64 | N=24 | Held: 24
  [16/471] Dec 2017 | Eq:    2,631,637 | RS: 0.61 | N=23 | Held: 23
  [17/471] Dec 2017 | Eq:    2,615,538 | RS: 0.62 | N=23 | Held: 23
  [18/471] Dec 2017 | Eq:    2,711,497 | RS: 0.60 | N=23 | Held: 23
  [19/471] Dec 2017 | Eq:    2,725,087 | RS: 0.68 | N=25 | Held: 25
  [20/471] Dec 2017 | Eq:    2,809,269 | RS: 0.68 | N=25 | Held: 25
  [21/471] Jan 2018 | Eq:    2,870,708 | RS: 0.71 | N=25 | Held: 25
  [22/471] Jan 2018 | Eq:    2,790,963 | RS: 0.71 | N=25 | Held: 25
  [23/471] Jan 2018 | Eq:    2,803,046 | RS: 0.63 | N=24 | Held: 24
  [24/471] Jan 2018 | Eq:    2,530,297 | RS: 0.49 | N=19 | Held: 22
  [25/471] Feb 2018 | Eq:    2,596,766 | RS: 0.46 | N=18 | Held: 18
  [26/471] Feb 2018 | Eq:    2,576,595 | RS: 0.48 | N=19 | Held: 19
  [27/471] Feb 2018 | Eq:    2,542,301 | RS: 0.47 | N=19 | Held: 19
  [28/471] Feb 2018 | Eq:    2,525,230 | RS: 0.46 | N=18 | Held: 18
  [29/471] Mar 2018 | Eq:    2,443,294 | RS: 0.48 | N=19 | Held: 19
  [30/471] Mar 2018 | Eq:    2,472,106 | RS: 0.40 | N=17 | Held: 17
  [31/471] Mar 2018 | Eq:    2,406,352 | RS: 0.41 | N=17 | Held: 17
  [32/471] Mar 2018 | Eq:    2,423,488 | RS: 0.35 | N=15 | Held: 15
  [33/471] Mar 2018 | Eq:    2,506,233 | RS: 0.47 | N=19 | Held: 19
  [34/471] Apr 2018 | Eq:    2,515,805 | RS: 0.49 | N=19 | Held: 19
  [35/471] Apr 2018 | Eq:    2,568,540 | RS: 0.49 | N=19 | Held: 19
  [36/471] Apr 2018 | Eq:    2,626,966 | RS: 0.52 | N=20 | Held: 20
  [37/471] Apr 2018 | Eq:    2,572,068 | RS: 0.52 | N=20 | Held: 20
  [38/471] May 2018 | Eq:    2,599,223 | RS: 0.47 | N=19 | Held: 19
  [39/471] May 2018 | Eq:    2,635,984 | RS: 0.45 | N=18 | Held: 19
  [40/471] May 2018 | Eq:    2,673,025 | RS: 0.40 | N=17 | Held: 18
  [41/471] May 2018 | Eq:    2,655,630 | RS: 0.39 | N=16 | Held: 16
  [42/471] Jun 2018 | Eq:    2,633,645 | RS: 0.40 | N=16 | Held: 16
  [43/471] Jun 2018 | Eq:    2,661,172 | RS: 0.40 | N=17 | Held: 17
  [44/471] Jun 2018 | Eq:    2,639,731 | RS: 0.40 | N=17 | Held: 17
  [45/471] Jun 2018 | Eq:    2,637,920 | RS: 0.36 | N=15 | Held: 17
  [46/471] Jun 2018 | Eq:    2,640,795 | RS: 0.33 | N=15 | Held: 17
  [47/471] Jul 2018 | Eq:    2,643,464 | RS: 0.33 | N=15 | Held: 16
  [48/471] Jul 2018 | Eq:    2,645,876 | RS: 0.34 | N=15 | Held: 14
  [49/471] Jul 2018 | Eq:    2,648,551 | RS: 0.32 | N=14 | Held: 13
  [50/471] Jul 2018 | Eq:    2,673,542 | RS: 0.41 | N=17 | Held: 17
  [51/471] Aug 2018 | Eq:    2,657,786 | RS: 0.47 | N=19 | Held: 19
  [52/471] Aug 2018 | Eq:    2,698,048 | RS: 0.43 | N=18 | Held: 18
  [53/471] Aug 2018 | Eq:    2,718,270 | RS: 0.42 | N=17 | Held: 18
  [54/471] Aug 2018 | Eq:    2,749,356 | RS: 0.43 | N=17 | Held: 18
  [55/471] Aug 2018 | Eq:    2,673,911 | RS: 0.47 | N=19 | Held: 19
  [56/471] Sep 2018 | Eq:    2,643,841 | RS: 0.44 | N=18 | Held: 18
  [57/471] Sep 2018 | Eq:    2,532,507 | RS: 0.43 | N=17 | Held: 17
  [58/471] Sep 2018 | Eq:    2,534,403 | RS: 0.35 | N=15 | Held: 14
  [59/471] Sep 2018 | Eq:    2,536,172 | RS: 0.28 | N=13 | Held: 10
  [60/471] Oct 2018 | Eq:    2,538,255 | RS: 0.25 | N=12 | Held:  7
  [61/471] Oct 2018 | Eq:    2,540,847 | RS: 0.26 | N=13 | Held:  6
  [62/471] Oct 2018 | Eq:    2,543,696 | RS: 0.26 | N=12 | Held:  6
  [63/471] Oct 2018 | Eq:    2,546,039 | RS: 0.25 | N=12 | Held:  4
  [64/471] Nov 2018 | Eq:    2,548,639 | RS: 0.34 | N=15 | Held:  3
  [65/471] Nov 2018 | Eq:    2,507,977 | RS: 0.37 | N=16 | Held: 16
  [66/471] Nov 2018 | Eq:    2,475,877 | RS: 0.36 | N=16 | Held: 16
  [67/471] Nov 2018 | Eq:    2,501,581 | RS: 0.46 | N=18 | Held: 18
  [68/471] Nov 2018 | Eq:    2,461,875 | RS: 0.37 | N=16 | Held: 18
  [69/471] Dec 2018 | Eq:    2,463,965 | RS: 0.34 | N=15 | Held: 15
  [70/471] Dec 2018 | Eq:    2,465,878 | RS: 0.40 | N=17 | Held: 17
  [71/471] Dec 2018 | Eq:    2,460,045 | RS: 0.41 | N=17 | Held: 17
  [72/471] Dec 2018 | Eq:    2,426,727 | RS: 0.41 | N=17 | Held: 17
  [73/471] Jan 2019 | Eq:    2,440,605 | RS: 0.39 | N=16 | Held: 17
  [74/471] Jan 2019 | Eq:    2,402,219 | RS: 0.40 | N=17 | Held: 17
  [75/471] Jan 2019 | Eq:    2,369,290 | RS: 0.37 | N=16 | Held: 16
  [76/471] Jan 2019 | Eq:    2,371,545 | RS: 0.32 | N=14 | Held: 14
  [77/471] Feb 2019 | Eq:    2,373,854 | RS: 0.33 | N=15 | Held: 12
  [78/471] Feb 2019 | Eq:    2,376,250 | RS: 0.32 | N=14 | Held: 11
  [79/471] Feb 2019 | Eq:    2,378,651 | RS: 0.29 | N=13 | Held: 10
  [80/471] Feb 2019 | Eq:    2,381,072 | RS: 0.32 | N=14 | Held:  9
  [81/471] Mar 2019 | Eq:    2,420,339 | RS: 0.41 | N=17 | Held: 17
  [82/471] Mar 2019 | Eq:    2,480,613 | RS: 0.47 | N=19 | Held: 19
  [83/471] Mar 2019 | Eq:    2,487,408 | RS: 0.51 | N=20 | Held: 20
  [84/471] Mar 2019 | Eq:    2,509,214 | RS: 0.48 | N=19 | Held: 19
  [85/471] Mar 2019 | Eq:    2,536,869 | RS: 0.51 | N=20 | Held: 20
  [86/471] Apr 2019 | Eq:    2,533,944 | RS: 0.51 | N=20 | Held: 20
  [87/471] Apr 2019 | Eq:    2,532,255 | RS: 0.52 | N=20 | Held: 20
  [88/471] Apr 2019 | Eq:    2,495,403 | RS: 0.46 | N=19 | Held: 19
  [89/471] Apr 2019 | Eq:    2,495,453 | RS: 0.45 | N=18 | Held: 18
  [90/471] May 2019 | Eq:    2,432,300 | RS: 0.40 | N=17 | Held: 17
  [91/471] May 2019 | Eq:    2,462,681 | RS: 0.35 | N=15 | Held: 15
  [92/471] May 2019 | Eq:    2,465,179 | RS: 0.34 | N=15 | Held: 14
  [93/471] May 2019 | Eq:    2,496,610 | RS: 0.47 | N=19 | Held: 19
  [94/471] May 2019 | Eq:    2,501,020 | RS: 0.49 | N=19 | Held: 19
  [95/471] Jun 2019 | Eq:    2,501,735 | RS: 0.46 | N=19 | Held: 19
  [96/471] Jun 2019 | Eq:    2,494,866 | RS: 0.42 | N=17 | Held: 17
  [97/471] Jun 2019 | Eq:    2,530,281 | RS: 0.40 | N=17 | Held: 17
  [98/471] Jun 2019 | Eq:    2,536,741 | RS: 0.42 | N=17 | Held: 17
  [99/471] Jul 2019 | Eq:    2,489,159 | RS: 0.42 | N=17 | Held: 17
  [100/471] Jul 2019 | Eq:    2,419,503 | RS: 0.36 | N=16 | Held: 16
  [101/471] Jul 2019 | Eq:    2,421,368 | RS: 0.33 | N=14 | Held: 13
  [102/471] Jul 2019 | Eq:    2,423,831 | RS: 0.33 | N=14 | Held: 12
  [103/471] Aug 2019 | Eq:    2,426,032 | RS: 0.30 | N=14 | Held: 10
  [104/471] Aug 2019 | Eq:    2,428,509 | RS: 0.33 | N=14 | Held:  9
  [105/471] Aug 2019 | Eq:    2,431,232 | RS: 0.31 | N=14 | Held:  9
  [106/471] Aug 2019 | Eq:    2,433,715 | RS: 0.29 | N=13 | Held:  8
  [107/471] Aug 2019 | Eq:    2,435,957 | RS: 0.33 | N=15 | Held:  6
  [108/471] Sep 2019 | Eq:    2,438,688 | RS: 0.34 | N=15 | Held:  6
  [109/471] Sep 2019 | Eq:    2,466,195 | RS: 0.41 | N=17 | Held: 17
  [110/471] Sep 2019 | Eq:    2,570,440 | RS: 0.45 | N=18 | Held: 18
  [111/471] Sep 2019 | Eq:    2,513,857 | RS: 0.46 | N=18 | Held: 18
  [112/471] Oct 2019 | Eq:    2,543,682 | RS: 0.38 | N=16 | Held: 17
  [113/471] Oct 2019 | Eq:    2,616,983 | RS: 0.39 | N=16 | Held: 16
  [114/471] Oct 2019 | Eq:    2,640,790 | RS: 0.46 | N=18 | Held: 18
  [115/471] Oct 2019 | Eq:    2,684,207 | RS: 0.45 | N=18 | Held: 18
  [116/471] Nov 2019 | Eq:    2,641,223 | RS: 0.52 | N=20 | Held: 20
  [117/471] Nov 2019 | Eq:    2,687,261 | RS: 0.48 | N=19 | Held: 20
  [118/471] Nov 2019 | Eq:    2,688,851 | RS: 0.46 | N=18 | Held: 18
  [119/471] Nov 2019 | Eq:    2,722,295 | RS: 0.47 | N=19 | Held: 19
  [120/471] Nov 2019 | Eq:    2,719,245 | RS: 0.49 | N=19 | Held: 19
  [121/471] Dec 2019 | Eq:    2,728,320 | RS: 0.43 | N=17 | Held: 18
  [122/471] Dec 2019 | Eq:    2,730,813 | RS: 0.44 | N=18 | Held: 18
  [123/471] Dec 2019 | Eq:    2,751,963 | RS: 0.45 | N=18 | Held: 18
  [124/471] Dec 2019 | Eq:    2,784,633 | RS: 0.47 | N=19 | Held: 19
  [125/471] Jan 2020 | Eq:    2,790,577 | RS: 0.54 | N=21 | Held: 21
  [126/471] Jan 2020 | Eq:    2,837,692 | RS: 0.55 | N=21 | Held: 21
  [127/471] Jan 2020 | Eq:    2,880,575 | RS: 0.60 | N=23 | Held: 23
  [128/471] Jan 2020 | Eq:    2,924,435 | RS: 0.59 | N=22 | Held: 22
  [129/471] Jan 2020 | Eq:    2,994,665 | RS: 0.53 | N=21 | Held: 21
  [130/471] Feb 2020 | Eq:    3,040,693 | RS: 0.53 | N=21 | Held: 21
  [131/471] Feb 2020 | Eq:    3,072,466 | RS: 0.48 | N=19 | Held: 19
  [132/471] Feb 2020 | Eq:    2,910,056 | RS: 0.48 | N=19 | Held: 19
  [133/471] Feb 2020 | Eq:    2,879,042 | RS: 0.39 | N=16 | Held: 18
  [134/471] Mar 2020 | Eq:    2,881,617 | RS: 0.35 | N=15 | Held: 16
  [135/471] Mar 2020 | Eq:    2,883,895 | RS: 0.27 | N=13 | Held: 13
  [136/471] Mar 2020 | Eq:    2,884,533 | RS: 0.24 | N=12 | Held:  4
  [137/471] Mar 2020 | Eq:    2,887,479 | RS: 0.21 | N=11 | Held:  3
  [138/471] Apr 2020 | Eq:    2,890,716 | RS: 0.21 | N=11 | Held:  3
  [139/471] Apr 2020 | Eq:    2,887,636 | RS: 0.46 | N=18 | Held: 18
  [140/471] Apr 2020 | Eq:    2,890,816 | RS: 0.29 | N=13 | Held: 18
  [141/471] Apr 2020 | Eq:    2,893,995 | RS: 0.28 | N=13 | Held: 18
  [142/471] May 2020 | Eq:    2,879,395 | RS: 0.47 | N=19 | Held: 19
  [143/471] May 2020 | Eq:    2,882,465 | RS: 0.28 | N=13 | Held: 19
  [144/471] May 2020 | Eq:    2,885,630 | RS: 0.29 | N=13 | Held: 19
  [145/471] May 2020 | Eq:    2,888,759 | RS: 0.30 | N=13 | Held: 19
  [146/471] May 2020 | Eq:    2,988,749 | RS: 0.36 | N=15 | Held: 17
  [147/471] Jun 2020 | Eq:    3,051,200 | RS: 0.49 | N=19 | Held: 19
  [148/471] Jun 2020 | Eq:    3,164,914 | RS: 0.47 | N=19 | Held: 19
  [149/471] Jun 2020 | Eq:    3,247,036 | RS: 0.49 | N=19 | Held: 19
  [150/471] Jun 2020 | Eq:    3,222,082 | RS: 0.53 | N=21 | Held: 21
  [151/471] Jul 2020 | Eq:    3,180,331 | RS: 0.52 | N=20 | Held: 20
  [152/471] Jul 2020 | Eq:    3,234,301 | RS: 0.53 | N=21 | Held: 21
  [153/471] Jul 2020 | Eq:    3,399,497 | RS: 0.51 | N=20 | Held: 20
