Loading n500_bt.xlsx for historical simulation ...
Total trading days available: 1825
Valid rebalance points (week-ends): 315

Starting Point-in-Time Vectorised Backtest:
--------------------------------------------------------------------------------

  [1/314] Apr 2020 | Eq:    2,002,242 | RS: 0.00 | N= 5 | Held:  0
  [2/314] Apr 2020 | Eq:    2,004,487 | RS: 0.00 | N= 5 | Held:  0
  [3/314] Apr 2020 | Eq:    2,006,735 | RS: 0.00 | N= 5 | Held:  0
  [4/314] May 2020 | Eq:    2,008,985 | RS: 0.00 | N= 5 | Held:  0
  [5/314] May 2020 | Eq:    2,011,237 | RS: 0.00 | N= 5 | Held:  0
  [6/314] May 2020 | Eq:    2,013,492 | RS: 0.00 | N= 5 | Held:  0
  [7/314] May 2020 | Eq:    2,015,749 | RS: 0.00 | N= 5 | Held:  0
  [8/314] May 2020 | Eq:    2,018,009 | RS: 0.00 | N= 5 | Held:  0
  [9/314] Jun 2020 | Eq:    2,020,272 | RS: 0.09 | N= 7 | Held:  0
  [10/314] Jun 2020 | Eq:    2,022,537 | RS: 0.09 | N= 7 | Held:  0
  [11/314] Jun 2020 | Eq:    2,024,805 | RS: 0.32 | N=13 | Held:  0
  [12/314] Jun 2020 | Eq:    2,027,075 | RS: 0.33 | N=13 | Held:  0
  [13/314] Jul 2020 | Eq:    2,020,724 | RS: 0.42 | N=16 | Held: 16
  [14/314] Jul 2020 | Eq:    2,025,812 | RS: 0.50 | N=18 | Held: 18
  [15/314] Jul 2020 | Eq:    2,100,672 | RS: 0.51 | N=18 | Held: 18
  [16/314] Jul 2020 | Eq:    2,146,136 | RS: 0.56 | N=19 | Held: 19
  [17/314] Jul 2020 | Eq:    2,239,449 | RS: 0.60 | N=21 | Held: 21
  [18/314] Aug 2020 | Eq:    2,243,794 | RS: 0.65 | N=22 | Held: 22
  [19/314] Aug 2020 | Eq:    2,294,913 | RS: 0.69 | N=23 | Held: 23
  [20/314] Aug 2020 | Eq:    2,326,578 | RS: 0.74 | N=24 | Held: 24
  [21/314] Aug 2020 | Eq:    2,356,808 | RS: 0.78 | N=25 | Held: 25
  [22/314] Sep 2020 | Eq:    2,374,263 | RS: 0.70 | N=23 | Held: 24
  [23/314] Sep 2020 | Eq:    2,599,337 | RS: 0.69 | N=23 | Held: 23
  [24/314] Sep 2020 | Eq:    2,477,381 | RS: 0.72 | N=24 | Held: 24
  [25/314] Sep 2020 | Eq:    2,479,567 | RS: 0.24 | N=11 | Held: 22
  [26/314] Oct 2020 | Eq:    2,469,339 | RS: 0.43 | N=16 | Held: 22
  [27/314] Oct 2020 | Eq:    2,482,458 | RS: 0.52 | N=18 | Held: 20
  [28/314] Oct 2020 | Eq:    2,484,862 | RS: 0.38 | N=15 | Held: 19
  [29/314] Oct 2020 | Eq:    2,494,111 | RS: 0.73 | N=24 | Held: 24
  [30/314] Oct 2020 | Eq:    2,513,137 | RS: 0.63 | N=21 | Held: 23
  [31/314] Nov 2020 | Eq:    2,577,940 | RS: 0.78 | N=25 | Held: 25
  [32/314] Nov 2020 | Eq:    2,584,481 | RS: 0.78 | N=25 | Held: 25
  [33/314] Nov 2020 | Eq:    2,727,668 | RS: 0.79 | N=25 | Held: 25
  [34/314] Nov 2020 | Eq:    2,833,390 | RS: 0.79 | N=25 | Held: 25
  [35/314] Dec 2020 | Eq:    2,799,177 | RS: 0.80 | N=25 | Held: 25
  [36/314] Dec 2020 | Eq:    2,818,368 | RS: 0.80 | N=25 | Held: 25
  [37/314] Dec 2020 | Eq:    2,818,263 | RS: 0.81 | N=25 | Held: 25
  [38/314] Dec 2020 | Eq:    2,914,944 | RS: 0.76 | N=25 | Held: 25
  [39/314] Jan 2021 | Eq:    3,046,183 | RS: 0.77 | N=25 | Held: 25
  [40/314] Jan 2021 | Eq:    3,057,220 | RS: 0.76 | N=25 | Held: 25
  [41/314] Jan 2021 | Eq:    3,044,771 | RS: 0.72 | N=24 | Held: 25
  [42/314] Jan 2021 | Eq:    3,005,866 | RS: 0.81 | N=25 | Held: 25
  [43/314] Jan 2021 | Eq:    3,345,121 | RS: 0.58 | N=20 | Held: 25
  [44/314] Feb 2021 | Eq:    3,460,827 | RS: 0.43 | N=16 | Held: 22
  [45/314] Feb 2021 | Eq:    3,577,794 | RS: 0.44 | N=16 | Held: 20
  [46/314] Feb 2021 | Eq:    3,654,002 | RS: 0.52 | N=18 | Held: 19
  [47/314] Feb 2021 | Eq:    3,657,271 | RS: 0.29 | N=12 | Held: 17
  [48/314] Mar 2021 | Eq:    3,747,441 | RS: 0.54 | N=19 | Held: 19
  [49/314] Mar 2021 | Eq:    3,753,164 | RS: 0.54 | N=19 | Held: 19
  [50/314] Mar 2021 | Eq:    3,756,916 | RS: 0.39 | N=15 | Held: 18
  [51/314] Mar 2021 | Eq:    3,941,310 | RS: 0.48 | N=17 | Held: 17
  [52/314] Apr 2021 | Eq:    4,031,765 | RS: 0.64 | N=21 | Held: 21
  [53/314] Apr 2021 | Eq:    3,875,084 | RS: 0.59 | N=20 | Held: 20
  [54/314] Apr 2021 | Eq:    3,878,746 | RS: 0.30 | N=12 | Held: 19
