Rebalance_Date,Regime,Dynamic_N,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2017-08-18,BUY (0.56),21,388,42.60660640329264,0.010191570765642907,0.0084873065095112,0.0013381039648601156,2016974.6130190224,2002676.2079297202,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE, HEG"
2017-08-25,BUY (0.52),20,383,1.4099388970868103,0.04532564216578209,0.04526924460989862,0.01737210585945448,2108281.530147736,2037466.9110160861,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE, HEG"
2017-09-01,BUY (0.61),23,397,7.337780084051138,0.026634584443648454,0.02634107324028641,-0.0006053510750692048,2163815.9283445007,2036233.5282310846,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE, HEG, HSCL, ASAHIINDIA"
2017-09-08,BUY (0.62),23,399,1.6181967734647817,0.03471590510455761,0.03465117723361902,0.01573151846581977,2238794.697578494,2068266.5735811733,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE, HEG, HSCL, ASAHIINDIA"
2017-09-15,BUY (0.65),24,406,8.368309296531189,-0.014253031098434694,-0.014587763470295941,-0.016832440703902107,2206135.690071666,2033452.5991215054,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE, HEG, HSCL, ASAHIINDIA, SUNTECK, IGL"
2017-09-22,BUY (0.57),22,403,7.360018599028595,0.0019031657070440083,0.0016087649630828645,-0.01579308766308085,2209684.84387366,2001338.1039648599,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, RAIN, IIFL, KEC, BAJFINANCE, HEG, HSCL, ASAHIINDIA, SUNTECK, IGL"
2017-09-29,BUY (0.56),21,387,8.917760449725161,0.06419765577038176,0.06384094535239276,0.021790697674418658,2350753.213237409,2044948.6575326524,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, KEC, BAJFINANCE, HEG, HSCL, ASAHIINDIA, SUNTECK, IGL, TVSMOTOR"
2017-10-06,BUY (0.61),23,397,6.610986894769523,0.03041518145917626,0.03015074198338548,0.017047135671529823,2421630.1668363446,2079809.1747389243,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, KEC, BAJFINANCE, HEG, HSCL, ASAHIINDIA, SUNTECK, IGL, TVSMOTOR, BBTC, MOTILALOFS"
2017-10-13,BUY (0.63),23,402,8.230436703156265,0.008414496643019721,0.00808527917489347,5.035134046438294e-05,2441209.7227935605,2079913.8959187826,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, BAJFINANCE, HEG, HSCL, ASAHIINDIA, SUNTECK, IGL, TVSMOTOR, BBTC, MOTILALOFS, ADANIENSOL, KRBL"
2017-10-20,BUY (0.52),20,407,4.634398705111396,0.017786104972304297,0.01760072902409984,0.018662623844075465,2484176.793615448,2118730.5465863803,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, HEG, HSCL, ASAHIINDIA, SUNTECK, IGL, TVSMOTOR, BBTC, MOTILALOFS, ADANIENSOL, KRBL"
