Rebalance_Date,Equity,Nifty_Equity,Held,Entries,Exits,Cash_Wt,Gross_Return,Net_Return,Nifty_Return,Tickers
2020-04-24,2002242.3679656426,2138641.079876425,0,0,0,100.0,0.00112118398282135,0.00112118398282135,0.06932053993821263,CASH
2020-05-01,2004487.250038332,2015626.9808966496,0,0,0,100.0,0.00112118398282135,0.00112118398282135,-0.057519749404085885,CASH
2020-05-08,2006734.6490368447,2002829.1374467034,0,0,0,100.0,0.00112118398282135,0.00112118398282135,-0.006349311440677963,CASH
2020-05-15,2008984.5677831175,1979328.613655926,0,0,0,100.0,0.00112118398282135,0.00112118398282135,-0.0117336638215364,CASH
2020-05-22,2011237.0091022511,2087796.6757634997,0,0,0,100.0,0.00112118398282135,0.00112118398282135,0.05480043149946057,CASH
2020-05-29,2017083.0731068945,2215094.5158771994,1,1,0,95.0,0.0030067006912590675,0.0029067006912590677,0.06097233585600348,TATA CHEMICALS LIMITED
2020-06-05,2006184.6667014465,2187617.1856754897,2,1,0,90.0,-0.00530305282948072,-0.00540305282948072,-0.012404585901305665,"AMBER ENTERPRISES INDIA LIMITED, TATA CHEMICALS LIMITED"
2020-06-12,2032927.7558282188,2242865.435813944,4,3,1,80.0,0.013730322761734056,0.013330322761734056,0.025254989995607824,"ADANI GREEN ENERGY LIMITED, CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, TATA CHEMICALS LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-06-19,2050653.0572923142,2284395.038333478,5,1,0,75.0,0.00881910052547552,0.008719100525475521,0.018516314824951863,"ADANI GREEN ENERGY LIMITED, CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, TATA CHEMICALS LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-06-26,2022762.1669623693,2321027.030273105,7,4,2,65.0,-0.01300097956636901,-0.01360097956636901,0.016035751840168144,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, ENDURANCE TECHNOLOGIES LIMITED, GLENMARK PHARMACEUTICALS LIMITED, TATA CHEMICALS LIMITED, TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-07-03,2025567.8638940735,2352441.1319218786,6,1,2,70.1,0.0016870621952148079,0.001387062195214808,0.013534569498347082,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, JUBILANT PHARMOVA LIMITED, TATA CHEMICALS LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-07-10,2037166.900117992,2374153.427326531,8,2,0,61.3,0.005926313312267699,0.005726313312267699,0.00922968703021887,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JUBILANT PHARMOVA LIMITED, TATA CHEMICALS LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-07-17,2058329.7091619063,2425037.8664033255,10,2,0,51.9,0.010588345695614315,0.010388353081276093,0.02143266668915067,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JUBILANT PHARMOVA LIMITED, NEULAND LABORATORIES LTD., TATA CHEMICALS LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-07-24,2087776.8020647534,2411639.4984953525,12,2,0,47.4,0.01450630514235608,0.01430630514235608,-0.005525013895079867,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GRANULES INDIA LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JUBILANT PHARMOVA LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., TATA CHEMICALS LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-07-31,2146844.9008279657,2455117.469256484,14,2,0,40.9,0.028474489237987177,0.028292343657040107,0.018028387239576116,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GRANULES INDIA LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JUBILANT PHARMOVA LIMITED, LAURUS LABS LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., SCHAEFFLER INDIA LIMITED, TATA CHEMICALS LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-08-07,2178757.256069362,2459321.1404626705,13,0,1,44.8,0.014964769797337865,0.014864769797337866,0.0017122077696183347,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GRANULES INDIA LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JUBILANT PHARMOVA LIMITED, LAURUS LABS LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., TATA CHEMICALS LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-08-14,2213956.7392925364,2515143.225083239,14,2,1,35.3,0.016455761788110833,0.01615576178811083,0.022698168084736903,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, DIVI'S LABORATORIES LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GRANULES INDIA LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JAIPRAKASH POWER VENTURES LIMITED, JUBILANT PHARMOVA LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., TATA CHEMICALS LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-08-21,2209066.8724523406,2573193.922692484,18,4,0,29.0,-0.0019604810780093963,-0.002208655098544783,0.023080473919064426,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, CUMMINS INDIA LIMITED, DIVI'S LABORATORIES LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GRANULES INDIA LIMITED, HINDUSTAN AERONAUTICS LIMITED, J. K. CEMENT LIMITED., JAIPRAKASH POWER VENTURES LIMITED, JUBILANT PHARMOVA LIMITED, KAJARIA CERAMICS LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., NHPC LIMITED, TATA CHEMICALS LIMITED, THE TATA POWER COMPANY LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-08-28,2212638.6085298317,2502972.596067232,20,3,1,28.4,0.0019750212665300784,0.0016168528540404536,-0.02728955870989136,"ASTER DM HEALTHCARE LIMITED, CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, CUMMINS INDIA LIMITED, DIVI'S LABORATORIES LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GODAWARI POWER AND ISPAT LIMITED, GRANULES INDIA LIMITED, J. K. CEMENT LIMITED., JAIPRAKASH POWER VENTURES LIMITED, JUBILANT PHARMOVA LIMITED, KAJARIA CERAMICS LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., NHPC LIMITED, TATA CHEMICALS LIMITED, TATA ELXSI LIMITED, THE TATA POWER COMPANY LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
2020-09-04,2185977.7438341365,2521241.884579199,18,0,2,29.1,-0.011849353470067915,-0.012049353470067916,0.007299036569826001,"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED, CUMMINS INDIA LIMITED, DIVI'S LABORATORIES LIMITED, E.I.D PARRY (INDIA) LIMITED, GLENMARK PHARMACEUTICALS LIMITED, GODAWARI POWER AND ISPAT LIMITED, GRANULES INDIA LIMITED, J. K. CEMENT LIMITED., JUBILANT PHARMOVA LIMITED, KAJARIA CERAMICS LIMITED, MphasiS Limited, NEULAND LABORATORIES LTD., NHPC LIMITED, TATA CHEMICALS LIMITED, TATA ELXSI LIMITED, THE TATA POWER COMPANY LIMITED, TUBE INVESTMENTS OF INDIA LIMITED, ZYDUS LIFESCIENCES LIMITED"
