Date,Ticker,Action,Reason,Entry Price,Exit Price,Peak Price,PnL %,Days Held
2020-05-29,TATA CHEMICALS LIMITED,BUY,STREAK_5,275.7116,,275.7116,,
2020-06-05,AMBER ENTERPRISES INDIA LIMITED,BUY,STREAK_5,1532.55,,1532.55,,
2020-06-12,AMBER ENTERPRISES INDIA LIMITED,SELL,TSL_EXIT,1532.55,1370.85,1532.55,-10.55,7.0
2020-06-12,ADANI GREEN ENERGY LIMITED,BUY,STREAK_5,336.4,,336.4,,
2020-06-12,ZYDUS LIFESCIENCES LIMITED,BUY,STREAK_5,361.0058,,361.0058,,
2020-06-12,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,BUY,STREAK_5,121.8951,,121.8951,,
2020-06-19,GLENMARK PHARMACEUTICALS LIMITED,BUY,STREAK_5,400.0461,,400.0461,,
2020-06-26,ADANI GREEN ENERGY LIMITED,SELL,TSL_EXIT,336.4,397.55,463.6,18.18,14.0
2020-06-26,GLENMARK PHARMACEUTICALS LIMITED,SELL,TSL_EXIT,400.0461,456.0926,507.9369,14.01,7.0
2020-06-26,ENDURANCE TECHNOLOGIES LIMITED,BUY,STREAK_9,878.8307,,878.8307,,
2020-06-26,GLENMARK PHARMACEUTICALS LIMITED,BUY,STREAK_6,456.0926,,456.0926,,
2020-06-26,E.I.D PARRY (INDIA) LIMITED,BUY,STREAK_5,259.2196,,259.2196,,
2020-06-26,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,BUY,STREAK_5,6.9471,,6.9471,,
2020-07-03,ENDURANCE TECHNOLOGIES LIMITED,SELL,52H_BREACH,878.8307,860.7323,878.8307,-2.06,7.0
2020-07-03,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,SELL,TSL_EXIT,6.9471,5.7726,7.0471,-16.91,7.0
2020-07-03,JUBILANT PHARMOVA LIMITED,BUY,STREAK_5,490.8413,,490.8413,,
2020-07-10,HINDUSTAN AERONAUTICS LIMITED,BUY,STREAK_5,421.2021,,421.2021,,
2020-07-10,J. K. CEMENT LIMITED.,BUY,STREAK_5,1403.2545,,1403.2545,,
2020-07-17,NEULAND LABORATORIES LTD.,BUY,STREAK_5,673.4505,,673.4505,,
2020-07-17,TUBE INVESTMENTS OF INDIA LIMITED,BUY,STREAK_5,490.3374,,490.3374,,
2020-07-24,GRANULES INDIA LIMITED,BUY,STREAK_5,297.3124,,297.3124,,
2020-07-24,MphasiS Limited,BUY,STREAK_5,1000.2283,,1000.2283,,
2020-07-31,LAURUS LABS LIMITED,BUY,STREAK_5,182.9527,,182.9527,,
2020-07-31,SCHAEFFLER INDIA LIMITED,BUY,STREAK_5,693.5826,,693.5826,,
2020-08-07,SCHAEFFLER INDIA LIMITED,SELL,52H_BREACH,693.5826,681.3641,696.9857,-1.76,7.0
