Loading n500_bt.xlsx for historical simulation ...
Total trading days available: 1825
Valid rebalance points (week-ends): 315

Starting Point-in-Time Vectorised Backtest:
--------------------------------------------------------------------------------

  [1/314] Apr 2020 | Eq:    2,002,242 | RS: 0.00 | N= 5 | Held:  0
  [2/314] Apr 2020 | Eq:    2,004,487 | RS: 0.00 | N= 5 | Held:  0
  [3/314] Apr 2020 | Eq:    2,006,735 | RS: 0.00 | N= 5 | Held:  0
  [4/314] May 2020 | Eq:    2,008,985 | RS: 0.00 | N= 5 | Held:  0
  [5/314] May 2020 | Eq:    2,011,237 | RS: 0.00 | N= 5 | Held:  0
  [6/314] May 2020 | Eq:    2,013,492 | RS: 0.00 | N= 5 | Held:  0
  [7/314] May 2020 | Eq:    2,015,749 | RS: 0.00 | N= 5 | Held:  0
  [8/314] May 2020 | Eq:    2,018,009 | RS: 0.00 | N= 5 | Held:  0
  [9/314] Jun 2020 | Eq:    2,020,272 | RS: 0.09 | N= 7 | Held:  0
  [10/314] Jun 2020 | Eq:    2,022,537 | RS: 0.09 | N= 7 | Held:  0
  [11/314] Jun 2020 | Eq:    2,024,805 | RS: 0.32 | N=14 | Held:  0
  [12/314] Jun 2020 | Eq:    2,027,075 | RS: 0.33 | N=14 | Held:  0
  [13/314] Jul 2020 | Eq:    2,016,040 | RS: 0.42 | N=17 | Held: 17
  [14/314] Jul 2020 | Eq:    2,030,066 | RS: 0.50 | N=20 | Held: 20
  [15/314] Jul 2020 | Eq:    2,101,010 | RS: 0.51 | N=20 | Held: 20
  [16/314] Jul 2020 | Eq:    2,150,355 | RS: 0.56 | N=21 | Held: 21
  [17/314] Jul 2020 | Eq:    2,243,487 | RS: 0.60 | N=23 | Held: 23
  [18/314] Aug 2020 | Eq:    2,242,210 | RS: 0.65 | N=24 | Held: 24
  [19/314] Aug 2020 | Eq:    2,301,984 | RS: 0.69 | N=25 | Held: 25
  [20/314] Aug 2020 | Eq:    2,325,238 | RS: 0.74 | N=25 | Held: 25
  [21/314] Aug 2020 | Eq:    2,342,687 | RS: 0.78 | N=25 | Held: 25
  [22/314] Sep 2020 | Eq:    2,361,501 | RS: 0.70 | N=25 | Held: 25
  [23/314] Sep 2020 | Eq:    2,576,650 | RS: 0.69 | N=25 | Held: 25
  [24/314] Sep 2020 | Eq:    2,452,594 | RS: 0.72 | N=25 | Held: 25
  [25/314] Sep 2020 | Eq:    2,454,734 | RS: 0.24 | N=12 | Held: 23
  [26/314] Oct 2020 | Eq:    2,439,601 | RS: 0.43 | N=17 | Held: 23
  [27/314] Oct 2020 | Eq:    2,447,868 | RS: 0.52 | N=20 | Held: 21
  [28/314] Oct 2020 | Eq:    2,473,908 | RS: 0.38 | N=16 | Held: 20
  [29/314] Oct 2020 | Eq:    2,477,867 | RS: 0.73 | N=25 | Held: 25
  [30/314] Oct 2020 | Eq:    2,500,444 | RS: 0.63 | N=24 | Held: 24
  [31/314] Nov 2020 | Eq:    2,564,785 | RS: 0.78 | N=25 | Held: 25
  [32/314] Nov 2020 | Eq:    2,564,503 | RS: 0.78 | N=25 | Held: 25
  [33/314] Nov 2020 | Eq:    2,700,891 | RS: 0.79 | N=25 | Held: 25
  [34/314] Nov 2020 | Eq:    2,813,597 | RS: 0.79 | N=25 | Held: 25
  [35/314] Dec 2020 | Eq:    2,784,486 | RS: 0.80 | N=25 | Held: 25
  [36/314] Dec 2020 | Eq:    2,797,434 | RS: 0.80 | N=25 | Held: 25
  [37/314] Dec 2020 | Eq:    2,799,811 | RS: 0.81 | N=25 | Held: 25
  [38/314] Dec 2020 | Eq:    2,894,380 | RS: 0.76 | N=25 | Held: 25
  [39/314] Jan 2021 | Eq:    3,035,026 | RS: 0.77 | N=25 | Held: 25
  [40/314] Jan 2021 | Eq:    3,046,770 | RS: 0.76 | N=25 | Held: 25
  [41/314] Jan 2021 | Eq:    3,057,057 | RS: 0.72 | N=25 | Held: 25
  [42/314] Jan 2021 | Eq:    3,018,511 | RS: 0.81 | N=25 | Held: 25
  [43/314] Jan 2021 | Eq:    3,359,193 | RS: 0.58 | N=22 | Held: 25
  [44/314] Feb 2021 | Eq:    3,475,386 | RS: 0.43 | N=17 | Held: 22
  [45/314] Feb 2021 | Eq:    3,592,845 | RS: 0.44 | N=18 | Held: 20
  [46/314] Feb 2021 | Eq:    3,662,471 | RS: 0.52 | N=20 | Held: 20
  [47/314] Feb 2021 | Eq:    3,665,748 | RS: 0.29 | N=13 | Held: 18
  [48/314] Mar 2021 | Eq:    3,755,224 | RS: 0.54 | N=21 | Held: 21
  [49/314] Mar 2021 | Eq:    3,738,412 | RS: 0.54 | N=21 | Held: 21
  [50/314] Mar 2021 | Eq:    3,773,896 | RS: 0.39 | N=16 | Held: 20
  [51/314] Mar 2021 | Eq:    3,964,748 | RS: 0.48 | N=19 | Held: 19
  [52/314] Apr 2021 | Eq:    4,081,697 | RS: 0.64 | N=24 | Held: 24
  [53/314] Apr 2021 | Eq:    3,921,500 | RS: 0.59 | N=22 | Held: 23
  [54/314] Apr 2021 | Eq:    3,925,178 | RS: 0.30 | N=14 | Held: 22
