Rebalance_Date,State,Regime,Exposure,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2017-08-18,Correction,Correction (exp=0.50),0.5,388,21.032723864450062,0.004415427766588058,0.003574118812010056,0.0013381039648601156,2007148.2376240199,2002676.2079297202,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE"
2017-08-25,Correction,Correction (exp=0.50),0.5,383,0.587531984694267,0.01952273424514355,0.01949923296575578,0.01737210585945448,2046286.0887062566,2037466.9110160861,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE"
2017-09-01,Bull,Bull (exp=1.00),1.0,397,21.1138660338301,0.03162146001261265,0.030776905371259447,-0.0006053510750692048,2109264.4420208936,2036233.5282310846,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE"
2017-09-08,Bull,Bull (exp=1.00),1.0,399,1.019784473743996,0.025060104264394825,0.025019312885445066,0.01573151846581977,2162036.789053958,2068266.5735811733,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, PCJEWELLER, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE"
2017-09-15,Bull,Bull (exp=1.00),1.0,406,4.348189922102893,-0.01784996690042297,-0.018023894497307087,-0.016832440703902107,2123068.4660687526,2033452.5991215054,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, RAIN, IIFL, KEC, GABRIEL, BAJAJFINSV, BAJFINANCE, HEG"
2017-09-22,Bull,Bull (exp=1.00),1.0,403,10.924831220526665,0.0028628539216192335,0.0024258606727981667,-0.01579308766308085,2128218.734366247,2001338.1039648599,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, HINDUNILVR, RAIN, IIFL, KEC, BAJFINANCE, HEG, HSCL, BBTC"
2017-09-29,Correction,Correction (exp=0.50),0.5,387,25.60901286437972,0.03521999315697805,0.03419563264240286,0.021790697674418658,2200994.5203893147,2044948.6575326524,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, KEC, BAJFINANCE, HEG, HSCL, BBTC, IGL, TVSMOTOR"
2017-10-06,Bull,Bull (exp=1.00),1.0,397,21.615813306461163,0.03531234598125239,0.03444771344899394,0.017047135671529823,2276813.748930492,2079809.1747389243,"GRAPHITE, UNOMINDA, AVANTIFEED, SHAKTIPUMP, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, KEC, BAJFINANCE, HEG, HSCL, BBTC, IGL, TVSMOTOR"
2017-10-13,Bull,Bull (exp=1.00),1.0,402,8.63161254786139,0.010722112253075771,0.010376847751161315,5.035134046438294e-05,2300439.898560894,2079913.8959187826,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, BAJFINANCE, HEG, HSCL, BBTC, IGL, TVSMOTOR, ADANIENSOL, MOTILALOFS"
2017-10-20,Bull,Bull (exp=1.00),1.0,407,5.939537659867381,0.01101161615745936,0.010774034651064664,0.018662623844075465,2325224.917740681,2118730.5465863803,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, HDFCBANK, EDELWEISS, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, HEG, HSCL, BBTC, IGL, TVSMOTOR, ADANIENSOL, MOTILALOFS, DCMSHRIRAM"
2017-10-27,Bull,Bull (exp=1.00),1.0,423,11.692894558676608,0.03617987717895279,0.03571216139660573,0.01715644547446571,2408263.725286446,2155080.4316839743,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, LTF, DBL, RAIN, HEG, HSCL, BBTC, IGL, TVSMOTOR, ADANIENSOL, MOTILALOFS, DCMSHRIRAM, KRBL, TATASTEEL"
2017-11-03,Bull,Bull (exp=1.00),1.0,437,6.640111681644588,0.008802043606408601,0.008536439139142817,-0.011413885634377618,2428821.7220083596,2130482.5901038484,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, IGL, TVSMOTOR, ADANIENSOL, MOTILALOFS, DCMSHRIRAM, KRBL, TATASTEEL, SOLARINDS"
2017-11-10,Bull,Bull (exp=1.00),1.0,433,1.6351909492389047,-0.00878742828524919,-0.008852835923218746,-0.0019497648812937252,2407319.76181667,2126328.6499694563,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, IGL, TVSMOTOR, ADANIENSOL, MOTILALOFS, DCMSHRIRAM, KRBL, TATASTEEL, SOLARINDS"
2017-11-17,Correction,Correction (exp=0.50),0.5,433,27.595960883177913,0.005324883733910689,0.0042210452985835725,0.011923914589968332,2417481.167579474,2151682.8111818945,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, TVSMOTOR, ADANIENSOL, DCMSHRIRAM, KRBL, TATASTEEL, SOLARINDS, IFBIND, SUNTECK"
2017-11-24,Bull,Bull (exp=1.00),1.0,442,25.913602103100903,0.001227792718906455,0.00019124863478241889,-0.020078844479534452,2417943.507552386,2108479.5066468855,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, TVSMOTOR, ADANIENSOL, KRBL, SOLARINDS, IFBIND, SUNTECK, PURVA, THANGAMAYL"
2017-12-01,Correction,Correction (exp=0.50),0.5,434,25.235662051732493,0.008664408588067269,0.0076549821059979685,0.014364707959913403,2436452.8218360133,2138767.1989993304,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, TVSMOTOR, KRBL, SOLARINDS, IFBIND, SUNTECK, PURVA, THANGAMAYL, GILLETTE"
2017-12-08,Bull,Bull (exp=1.00),1.0,439,20.295134647973605,-0.002475845187918301,-0.0032876505738372456,0.002850754307413661,2428442.6163181765,2144864.2988044326,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, TVSMOTOR, KRBL, SOLARINDS, IFBIND, SUNTECK, PURVA, THANGAMAYL, GILLETTE"
2017-12-15,Bull,Bull (exp=1.00),1.0,434,5.610417388089596,0.031327776448232605,0.03110335975270902,0.023299970163018324,2503975.340652331,2194839.572970299,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, TVSMOTOR, SOLARINDS, IFBIND, SUNTECK, PURVA, THANGAMAYL, GILLETTE, MARUTI"
2017-12-22,Bull,Bull (exp=1.00),1.0,446,1.222015228335593,0.0010274451050416296,0.000978564495908206,0.006271536871123251,2506425.6420193226,2208604.590278383,"GRAPHITE, UNOMINDA, AVANTIFEED, V2RETAIL, OLECTRA, GRAVITA, PCBL, DBL, RAIN, HEG, HSCL, BBTC, TVSMOTOR, SOLARINDS, IFBIND, SUNTECK, PURVA, THANGAMAYL, GILLETTE, MARUTI"
