Rebalance_Date,State,Exposure,K,n_bull,n_bear,Co_n,Co_mean_fwd_ret,Co_mean_sq_fwd_ret,Co_a_raw,Co_shrink_w,Re_n,Re_mean_fwd_ret,Re_mean_sq_fwd_ret,Re_a_raw,Re_shrink_w
2017-08-18,Correction,0.5,,,,,,,,,,,,,
2017-08-25,Correction,0.5,,,,,,,,,,,,,
2017-09-01,Bull,1.0,0.0,0.0,0.0,1.0,0.00694,5e-05,0.5,0.083,0.0,0.0,0.0,0.5,0.0
2017-09-08,Bull,1.0,0.0,0.0,0.0,1.0,0.00633,4e-05,0.5,0.083,0.0,0.0,0.0,0.5,0.0
2017-09-15,Bull,1.0,0.0,0.0,0.0,1.0,0.02216,0.00049,0.5,0.083,0.0,0.0,0.0,0.5,0.0
2017-09-22,Bull,1.0,0.0,0.0,0.0,1.0,0.00495,2e-05,0.5,0.083,0.0,0.0,0.0,0.5,0.0
2017-09-29,Correction,0.5,0.0,0.0,0.0,1.0,-0.01092,0.00012,0.5,0.083,0.0,0.0,0.0,0.5,0.0
2017-10-06,Bull,1.0,0.0,0.0,0.0,2.0,0.00544,0.0003,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-10-13,Bull,1.0,0.0,0.0,0.0,2.0,0.01414,0.00083,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-10-20,Bull,1.0,0.0,0.0,0.0,2.0,0.01417,0.00083,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-10-27,Bull,1.0,0.0,0.0,0.0,2.0,0.02387,0.00178,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-11-03,Bull,1.0,0.0039,1.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-11-10,Bull,1.0,5e-05,1.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-11-17,Correction,0.5,-0.0006,1.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-11-24,Bull,1.0,0.00337,1.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-12-01,Correction,0.5,-0.00255,2.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-12-08,Bull,1.0,0.00101,2.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-12-15,Bull,1.0,0.00172,2.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-12-22,Bull,1.0,0.00759,2.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2017-12-29,Bull,1.0,0.0092,2.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-01-05,Bull,1.0,0.00911,3.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-01-12,Bull,1.0,0.01104,3.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-01-19,Bull,1.0,0.01226,3.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-01-26,Bull,1.0,0.01409,3.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-02-02,Correction,0.5,0.00482,4.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-02-09,Correction,0.5,0.0021,4.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-02-16,Correction,0.5,0.00183,4.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-02-23,Correction,0.5,0.0021,4.0,0.0,2.0,0.02673,0.00213,0.5,0.167,0.0,0.0,0.0,0.5,0.0
2018-03-02,Correction,0.5,0.00196,4.0,0.0,3.0,0.0165,0.00143,0.5,0.25,0.0,0.0,0.0,0.5,0.0
2018-03-09,Correction,0.5,0.00196,4.0,0.0,3.0,0.0079,0.00172,0.5,0.25,0.0,0.0,0.0,0.5,0.0
2018-03-16,Correction,0.5,0.00196,4.0,0.0,3.0,0.00855,0.00168,0.5,0.25,0.0,0.0,0.0,0.5,0.0
2018-03-23,Correction,0.5,0.00196,4.0,0.0,3.0,0.00122,0.00225,0.5,0.25,0.0,0.0,0.0,0.5,0.0
2018-03-30,Correction,0.5,0.00196,4.0,0.0,3.0,0.00523,0.0019,0.5,0.25,0.0,0.0,0.0,0.5,0.0
2018-04-06,Bull,1.0,0.00171,4.0,0.0,4.0,0.01121,0.00164,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-04-13,Bull,1.0,0.00171,4.0,0.0,4.0,0.01389,0.00182,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-04-20,Bull,1.0,0.00171,4.0,0.0,4.0,0.01614,0.00202,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-04-27,Bull,1.0,0.00171,4.0,0.0,4.0,0.01883,0.00231,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-05-04,Correction,0.5,-0.00031,5.0,0.0,4.0,0.02031,0.0025,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-05-11,Correction,0.5,0.00058,5.0,0.0,4.0,0.02031,0.0025,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-05-18,Correction,0.5,-0.00184,5.0,0.0,4.0,0.02031,0.0025,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-05-25,Correction,0.5,-0.00177,5.0,0.0,4.0,0.02031,0.0025,0.5,0.333,0.0,0.0,0.0,0.5,0.0
2018-06-01,Correction,0.5008356168031398,-0.00054,5.0,0.0,5.0,0.01496,0.00201,0.502,0.417,0.0,0.0,0.0,0.5,0.0
2018-06-08,Bull,1.0,-0.00054,5.0,0.0,5.0,0.01627,0.002,0.502,0.417,0.0,0.0,0.0,0.5,0.0
2018-06-15,Bull,1.0,-0.00054,5.0,0.0,5.0,0.01686,0.002,0.502,0.417,0.0,0.0,0.0,0.5,0.0
2018-06-22,Correction,0.5008885914696674,-0.00054,5.0,0.0,5.0,0.01585,0.002,0.502,0.417,0.0,0.0,0.0,0.5,0.0
