Symbol,1Y_SHARPE,9M_SHARPE,6M_SHARPE,3M_SHARPE,1Y_SHARPE_Z,9M_SHARPE_Z,6M_SHARPE_Z,3M_SHARPE_Z,WEIGHTED_SCORE
MFSL,1.92,1.81,2.75,7.33,2.38,2.5,3.04,4.02,2.98
SOLARINDS,1.66,1.88,2.78,6.8,2.03,2.58,3.08,3.65,2.84
BSE,2.23,2.1,1.42,4.74,2.78,2.86,1.6,2.21,2.36
GRSE,1.31,1.61,2.17,5.03,1.57,2.24,2.42,2.41,2.16
NH,1.79,1.84,2.53,2.86,2.21,2.53,2.81,0.9,2.11
AIIL,1.84,1.44,1.65,4.37,2.27,2.03,1.85,1.95,2.02
MCX,2.12,1.41,1.04,4.69,2.64,1.99,1.19,2.18,2.0
BEL,1.04,1.53,1.76,5.21,1.22,2.14,1.97,2.54,1.97
RPOWER,1.61,1.86,1.3,3.78,1.97,2.56,1.47,1.54,1.88
JSWHL,2.21,2.48,1.82,0.36,2.76,3.34,2.04,-0.84,1.83
BDL,0.68,1.43,1.81,4.63,0.75,2.02,2.03,2.14,1.74
DEEPAKFERT,1.86,1.41,0.93,3.81,2.3,1.99,1.07,1.56,1.73
BHARTIHEXA,1.38,1.2,1.29,4.23,1.67,1.73,1.46,1.86,1.68
AUBANK,0.66,0.57,2.11,5.45,0.72,0.93,2.35,2.71,1.68
LLOYDSME,1.85,2.0,1.22,1.96,2.28,2.74,1.39,0.27,1.67
BHARTIARTL,1.53,1.12,1.75,3.18,1.86,1.63,1.96,1.13,1.64
MANAPPURAM,1.05,0.98,2.29,3.47,1.23,1.45,2.55,1.33,1.64
HDFCLIFE,1.39,0.72,2.0,3.59,1.68,1.12,2.23,1.41,1.61
ASTERDM,1.55,1.38,1.03,3.47,1.89,1.95,1.18,1.33,1.59
JKCEMENT,1.26,0.96,1.64,3.8,1.51,1.42,1.84,1.56,1.58
POWERINDIA,1.15,1.09,1.43,3.99,1.36,1.59,1.61,1.69,1.56
ABCAPITAL,0.43,0.72,1.93,5.16,0.42,1.12,2.16,2.51,1.55
COROMANDEL,1.55,1.43,1.58,2.16,1.89,2.02,1.78,0.41,1.52
WOCKPHARMA,2.12,1.57,0.8,1.87,2.64,2.19,0.93,0.21,1.49
NAVINFLUOR,0.97,1.67,2.03,1.92,1.13,2.32,2.26,0.25,1.49
SBILIFE,1.04,0.09,2.28,3.77,1.22,0.33,2.53,1.54,1.4
GVT&D,1.11,1.23,0.79,3.88,1.31,1.76,0.92,1.61,1.4
REDINGTON,0.92,1.46,1.55,2.5,1.06,2.05,1.74,0.65,1.38
SBICARD,1.17,0.97,2.08,1.75,1.39,1.44,2.32,0.13,1.32
FORTIS,1.52,1.08,0.71,2.69,1.85,1.57,0.83,0.78,1.26
MUTHOOTFIN,1.51,1.22,1.38,1.35,1.84,1.75,1.56,-0.15,1.25
MAZDOCK,1.15,1.32,1.0,2.45,1.36,1.88,1.15,0.62,1.25
CEATLTD,1.17,0.78,0.89,3.11,1.39,1.2,1.03,1.08,1.18
BAJAJHLDNG,1.4,1.11,1.07,1.72,1.69,1.61,1.22,0.11,1.16
LTF,0.32,0.49,1.91,3.58,0.27,0.83,2.13,1.4,1.16
JMFINANCIL,1.36,0.37,0.31,4.28,1.64,0.68,0.4,1.89,1.15
DIVISLAB,1.5,1.0,0.95,1.87,1.82,1.47,1.09,0.21,1.15
WELCORP,1.65,1.16,0.88,1.36,2.02,1.68,1.02,-0.14,1.15
ERIS,1.44,0.74,0.89,2.46,1.75,1.15,1.03,0.62,1.14
HDFCBANK,0.95,1.22,0.83,2.64,1.1,1.75,0.96,0.75,1.14
BAJFINANCE,1.11,1.18,1.84,0.75,1.31,1.7,2.06,-0.57,1.12
AFFLE,1.21,0.86,0.4,3.28,1.44,1.3,0.5,1.19,1.11
KOTAKBANK,1.02,1.06,1.66,1.2,1.19,1.55,1.86,-0.25,1.09
HDFCAMC,0.92,0.63,0.88,3.26,1.06,1.01,1.02,1.18,1.07
COCHINSHIP,0.29,0.75,1.37,3.42,0.23,1.16,1.55,1.29,1.06
COFORGE,1.67,1.12,0.09,2.14,2.05,1.63,0.16,0.4,1.06
APLAPOLLO,0.46,1.02,0.82,3.4,0.46,1.5,0.95,1.28,1.05
FSL,1.41,0.79,0.35,2.75,1.71,1.21,0.44,0.83,1.05
GODFRYPHLP,1.25,0.25,1.2,2.58,1.5,0.53,1.36,0.71,1.03
CHOLAHLDNG,1.27,0.38,1.54,1.79,1.52,0.69,1.73,0.16,1.02
KFINTECH,1.36,0.8,0.4,2.61,1.64,1.22,0.5,0.73,1.02
RADICO,1.23,0.96,0.55,2.29,1.47,1.42,0.66,0.5,1.01
CDSL,1.33,0.69,-0.45,4.1,1.6,1.08,-0.42,1.77,1.01
LAURUSLABS,1.34,1.07,0.83,1.4,1.61,1.56,0.96,-0.12,1.0
ASTRAZEN,0.95,0.98,1.54,1.15,1.1,1.45,1.73,-0.29,1.0
HOMEFIRST,0.8,0.48,1.27,2.66,0.9,0.82,1.44,0.76,0.98
ICICIBANK,1.17,0.94,0.81,1.8,1.39,1.4,0.94,0.16,0.97
BEML,0.3,0.7,0.43,4.45,0.25,1.1,0.53,2.01,0.97
PFIZER,0.8,-0.11,0.81,4.37,0.9,0.07,0.94,1.95,0.96
PNBHOUSING,1.01,0.15,1.09,3.02,1.18,0.4,1.25,1.01,0.96
INTELLECT,0.26,0.46,1.13,3.82,0.19,0.79,1.29,1.57,0.96
CRISIL,1.05,0.87,0.17,3.07,1.23,1.31,0.25,1.05,0.96
GODREJIND,1.32,0.51,1.05,1.81,1.59,0.86,1.2,0.17,0.96
SRF,0.9,1.07,1.82,0.33,1.04,1.56,2.04,-0.86,0.95
POONAWALLA,0.19,0.38,1.35,3.71,0.1,0.69,1.53,1.49,0.95
RAMCOCEM,0.82,1.04,-0.04,3.32,0.93,1.52,0.02,1.22,0.92
SBFC,0.68,0.77,1.07,2.36,0.75,1.18,1.22,0.55,0.92
INDIGO,0.94,0.53,1.51,1.6,1.09,0.88,1.7,0.02,0.92
RBLBANK,-0.09,0.4,1.72,3.42,-0.27,0.72,1.93,1.29,0.92
EIDPARRY,0.8,0.68,0.35,3.31,0.9,1.07,0.44,1.22,0.91
GLAXO,0.7,0.61,1.65,1.51,0.77,0.98,1.85,-0.04,0.89
DATAPATTNS,0.24,0.45,0.71,4.12,0.17,0.78,0.83,1.78,0.89
MAXHEALTH,1.03,1.12,0.22,2.06,1.21,1.63,0.3,0.34,0.87
CUB,0.71,0.68,0.45,3.04,0.79,1.07,0.55,1.03,0.86
NAVA,1.07,0.32,0.64,2.68,1.26,0.62,0.76,0.78,0.86
NBCC,0.4,0.21,0.87,3.81,0.38,0.48,1.01,1.56,0.86
INDIANB,0.56,0.83,0.68,2.61,0.59,1.26,0.8,0.73,0.85
TVSMOTOR,0.66,0.1,1.05,3.2,0.72,0.34,1.2,1.14,0.85
KARURVYSYA,0.69,0.69,0.5,2.87,0.76,1.08,0.61,0.91,0.84
BAJAJFINSV,1.01,0.46,1.45,1.19,1.18,0.79,1.64,-0.26,0.84
BRITANNIA,0.37,-0.4,1.78,3.48,0.34,-0.29,1.99,1.33,0.84
DBREALTY,0.36,0.48,0.72,3.49,0.32,0.82,0.84,1.34,0.83
GMDCLTD,0.17,0.35,0.63,4.12,0.08,0.65,0.75,1.78,0.82
ENDURANCE,0.02,0.39,0.98,3.79,-0.12,0.7,1.13,1.55,0.82
PAYTM,1.74,0.9,-0.42,1.76,2.14,1.35,-0.39,0.14,0.81
KIMS,1.61,0.56,0.51,1.14,1.97,0.92,0.62,-0.3,0.8
GILLETTE,0.98,0.56,0.26,2.56,1.14,0.92,0.35,0.69,0.78
ECLERX,1.13,0.86,-0.26,2.57,1.34,1.3,-0.22,0.7,0.78
RELIANCE,0.19,0.09,1.56,2.93,0.1,0.33,1.75,0.95,0.78
EICHERMOT,0.62,0.73,1.25,1.44,0.67,1.13,1.42,-0.09,0.78
CCL,0.87,0.51,0.36,2.67,1.0,0.86,0.45,0.77,0.77
DALBHARAT,0.58,0.6,0.53,2.77,0.61,0.97,0.64,0.84,0.76
NAM-INDIA,0.58,0.61,0.21,3.13,0.61,0.98,0.29,1.09,0.74
ABBOTINDIA,0.83,0.58,1.09,1.34,0.94,0.94,1.25,-0.16,0.74
IIFL,0.23,0.0,0.82,3.91,0.15,0.21,0.95,1.63,0.74
HAL,-0.02,0.47,0.57,3.95,-0.17,0.81,0.68,1.66,0.74
INDUSTOWER,0.71,-0.08,1.13,2.63,0.79,0.11,1.29,0.74,0.73
KPRMILL,0.71,0.94,0.31,1.89,0.79,1.4,0.4,0.23,0.7
