360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH;INF579M01AS1
Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan;INF209K01Q30
Aditya Birla Sun Life MIDCAP Fund-Growth;INF209K01363
Aditya Birla Sun Life Nifty Midcap 150 Index Fund-Direct Growth;INF209KB1W74
Axis Midcap Fund - Direct Plan - Growth;INF846K01EH3
Axis Nifty Midcap 50 Index Fund - Direct Plan - Growth Option;INF846K019H0
BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN;INF194KB1DJ2
Bandhan Nifty Midcap 150 Index Fund-Direct Plan-Growth;INF194KB1IT0
BANK OF INDIA Midcap Tax Fund Series 2 Direct Plan Growth;INF761K01EL6
Baroda BNP Paribas Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF251K01UA7
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION;INF760K01EF0
DSP Midcap Fund - Direct Plan - Growth;INF740K01PX1
DSP Nifty Midcap 150 ETF;INF740KA1WW5
DSP Nifty Midcap 150 Index Fund - Direct - Growth;INF740KA1XB7
DSP Nifty Midcap 150 Quality 50 ETF;INF740KA1QL0
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct - Growth;INF740KA1RB9
DSP Nifty500 Flexicap Quality 30 ETF;INF740KA1WU9
DSP Nifty500 Flexicap Quality 30 Index Fund - Direct - Growth;INF740KA1WR5
Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Growth;INF754K01NR9
Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Payout;INF754K01NS7
Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Payout;INF754K01NT5
Edelweiss Nifty LargeMidcap 250 ETF - Growth;INF754K01VV4
Edelweiss Nifty LargeMidcap 250 Plus 8-13 yr G-Sec 70-30 Index Fund Direct Plan Growth;INF754K01WR0
Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - Growth;INF754K01QD2
Groww Nifty Midcap 150 ETF;INF666M01MV5
Groww Nifty Midcap 150 Index Fund Direct Growth;INF666M01MP7
HDFC NIFTY LargeMidcap 250 Index Fund - Growth Option - Direct;INF179KC1IQ4
HDFC NIFTY LargeMidcap 250 Index Fund - Growth Option;INF179KC1IP6
HDFC NIFTY Midcap 150 ETF - Growth Option;INF179KC1HT0
HDFC NIFTY Midcap 150 Index Fund - Growth Option - Direct Plan;INF179KC1GC8
HDFC NIFTY Midcap 150 Index Fund - Growth Option;INF179KC1GD6
HSBC Midcap Fund - Direct Growth;INF917K01FZ1
ICICI Prudential BSE Midcap Select ETF;INF109KC10W0
ICICI Prudential Flexicap Fund - Direct Plan - Growth;INF109KC1R14
ICICI Prudential Flexicap Fund - Growth;INF109KC1Q80
ICICI Prudential MidCap Fund - Direct Plan -  Growth;INF109K011N7
ICICI Prudential MidCap Fund - Growth;INF109K01AN2
ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth;INF109KC12U0
ICICI Prudential Nifty LargeMidcap 250 Index Fund - Growth;INF109KC15U3
ICICI Prudential Nifty Midcap 150 ETF;INF109KC11W8
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth;INF109KC1W58
ICICI Prudential Nifty Midcap 150 Index Fund - Growth;INF109KC1W25
Invesco India Midcap Fund - Direct Plan - Growth Option;INF205K01MV6
ITI Large & Midcap Fund - Direct Plan - Growth;INF00XX01DA4
JioBlackRock Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF22M001077
JM Flexicap Fund (Direct) - Growth Option;INF192K01CC7
JM Midcap Fund (Direct) - Growth;INF192K01MV6
Kotak Flexicap Fund - Growth - Direct;INF174K01LS2
Kotak Flexicap Fund - Growth;INF174K01336
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct;INF174K01LQ6
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct;INF174K01LR4
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option;INF174K01344
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option;INF174K01351
Kotak Large & Midcap Fund - Direct- Growth;INF174K01LF9
Kotak Midcap Fund - Direct Plan - Growth;INF174K01LT0
Kotak Nifty Midcap 150 ETF;INF174KA1VW2
KOTAK NIFTY MIDCAP 150 INDEX FUND-DIRECT PLAN-GROWTH;INF174KA1VQ4
Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-Growth;INF174KA1TM7
Kotak Nifty Midcap 50 ETF;INF174KA1ZC5
KOTAK NIFTY MIDCAP 50 INDEX FUND-DIRECT PLAN- GROWTH;INF174KA1SR8
LIC MF Nifty Midcap 100 ETF;INF767K01RN1
Mirae Asset Large & Midcap Fund - Direct Plan - Growth;INF769K01BI1
Mirae Asset Midcap Fund- Direct Growth Option;INF769K01FA9
Mirae Asset Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth;INF769K01MJ6
Mirae Asset Nifty Midcap 150 ETF;INF769K01IC9
Motilal Oswal Diversified Equity Flexicap Passive Fund of Funds- Direct - Growth;INF247L01GL9
Motilal Oswal Large and Midcap Fund - Direct Plan Growth;INF247L01999
Motilal Oswal Midcap Fund-Direct Plan-Growth Option;INF247L01445
Motilal Oswal Nifty Midcap 100 ETF;INF247L01023
Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan;INF247L01916
Motilal Oswal Nifty Midcap150 Momentum 50 ETF;INF247L01FQ0
Navi Large & Midcap Fund- Direct Plan- Growth Option;INF959L01CH6
Navi Nifty Midcap 150 Index Fund Direct Plan- Growth;INF959L01FX6
Nippon India Diversified Equity Flexicap Passive FoF - Direct Plan - Growth Option;INF204KB16X6
Nippon India ETF Nifty Midcap 150;INF204KB1V68
Nippon India Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF204KB18Z7
Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option;INF204K01398
Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option;INF204K01406
PGIM India Large and Midcap Fund - Direct Plan - Growth Option;INF663L01Y12
PGIM India Midcap Fund - Direct Plan - Dividend Option - Payout;INF663L01DW1
PGIM India Midcap Fund - Direct Plan - Dividend Option - Payout;INF663L01DX9
PGIM India Midcap Fund - Direct Plan - Growth Option;INF663L01DV3
SBI Flexicap Fund - DIRECT PLAN - Growth Option;INF200K01UG1
SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth;INF200K01UJ5
SBI MIDCAP FUND - DIRECT PLAN - GROWTH;INF200K01TP4
SBI Nifty Midcap 150 ETF;INF200KB1AK8
SBI Nifty Midcap 150 Index Fund - Direct Plan - Growth;INF200KA10P5
SBI Nifty Midcap 150 Momentum 50 ETF;INF200KB1AJ0
Sundaram Flexicap Fund Direct Growth;INF903JA1LE2
Sundaram Large and Midcap Fund Direct Plan - Growth;INF903J01PR9
Tata Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF277KA1DZ9
Tata Nifty Midcap 150 Momentum 50 Index Fund - Growth - Direct Plan;INF277KA1612
Union Large & Midcap Fund - Direct Plan - Growth Option;INF582M01GA0
