ITI Large & Midcap Fund - Direct Plan - Growth;INF00XX01DA4
ITI Large & Midcap Fund - Direct Plan - IDCW Option;INF00XX01DB2
ITI Large & Midcap Fund - Direct Plan - IDCW Option;INF00XX01DC0
Kotak Large & Midcap Fund - Direct- Growth;INF174K01LF9
Kotak Large & Midcap Fund - IDCW-Direct;INF174K01LG7
Kotak Large & Midcap Fund - IDCW-Direct;INF174K01LH5
Mirae Asset Large & Midcap Fund - Direct Plan - Growth;INF769K01BI1
Mirae Asset Large & Midcap Fund - Direct Plan - IDCW;INF769K01BJ9
Mirae Asset Large & Midcap Fund - Direct Plan - IDCW;INF769K01BK7
Motilal Oswal Large and Midcap Fund - Direct Plan Growth;INF247L01999
Motilal Oswal Large and Midcap Fund Direct - IDCW Payout/Reinvestment;INF247L01AB3
Motilal Oswal Large and Midcap Fund Direct - IDCW Payout/Reinvestment;INF247L01AA5
Navi Large & Midcap Fund - Direct Annual IDCW Payout;INF959L01CR5
Navi Large & Midcap Fund - Direct Annual IDCW Payout;INF959L01CS3
Navi Large & Midcap Fund - Direct Half Yearly IDCW Payout;INF959L01CP9
Navi Large & Midcap Fund - Direct Half Yearly IDCW Payout;INF959L01CQ7
Navi Large & Midcap Fund - Direct Normal IDCW Payout;INF959L01CI4
Navi Large & Midcap Fund - Direct Normal IDCW Payout;INF959L01CJ2
Navi Large & Midcap Fund- Direct Plan- Growth Option;INF959L01CH6
PGIM India Large and Midcap Fund - Direct Plan - Growth Option;INF663L01Y12
PGIM India Large and Midcap Fund - Direct Plan - IDCW option;INF663L01Y20
PGIM India Large and Midcap Fund - Direct Plan - IDCW option;INF663L01Y38
SBI Large & Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200K01UH9
SBI Large & Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200K01UI7
SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth;INF200K01UJ5
Sundaram Large and Midcap Direct Plan - Income Distribution cum Capital Withdrawal (IDCW);INF903J01PP3
Sundaram Large and Midcap Direct Plan - Income Distribution cum Capital Withdrawal (IDCW);INF903J01PQ1
Sundaram Large and Midcap Fund Direct Plan - Growth;INF903J01PR9
Union Large & Midcap Fund - Direct Plan - Growth Option;INF582M01GA0
