,equity
2021-05-31,1000000.0
2021-06-01,1000000.0
2021-11-12,997217.7355345726
2021-11-22,989186.2720245362
2021-11-23,989186.2720245362
2021-11-24,989186.2720245362
2021-11-25,989186.2720245362
2021-11-26,989186.2720245362
2021-11-29,989186.2720245362
2021-11-30,989186.2720245362
2021-12-01,989186.2720245362
2021-12-02,989186.2720245362
2021-12-03,989186.2720245362
2021-12-06,989186.2720245362
2021-12-07,989186.2720245362
2021-12-14,989186.2720245362
2021-12-15,989186.2720245362
2021-12-16,989186.2720245362
2021-12-17,989186.2720245362
2021-12-20,989186.2720245362
2021-12-21,989186.2720245362
2021-12-22,989186.2720245362
2021-12-23,989186.2720245362
2021-12-24,989186.2720245362
2021-12-27,989186.2720245362
2021-12-28,989186.2720245362
2021-12-29,989186.2720245362
2021-12-30,989186.2720245362
2022-01-10,984390.1214572144
2022-01-21,973226.4936310435
2022-01-24,973226.4936310435
2022-01-25,973226.4936310435
2022-01-27,973226.4936310435
2022-01-28,973226.4936310435
2022-01-31,973226.4936310435
2022-02-04,973226.4936310435
2022-02-07,973226.4936310435
2022-02-08,973226.4936310435
2022-02-09,973226.4936310435
2022-02-11,973226.4936310435
2022-02-14,973226.4936310435
2022-02-15,973226.4936310435
2022-02-16,973226.4936310435
2022-02-17,973226.4936310435
2022-02-18,973226.4936310435
2022-02-21,973226.4936310435
2022-02-22,973226.4936310435
2022-02-23,973226.4936310435
2022-02-24,973226.4936310435
2022-02-25,973226.4936310435
2022-02-28,973226.4936310435
2022-03-02,973226.4936310435
2022-03-03,973226.4936310435
2022-03-04,973226.4936310435
2022-03-07,973226.4936310435
2022-03-08,973226.4936310435
2022-03-09,973226.4936310435
2022-03-10,973226.4936310435
2022-03-11,973226.4936310435
2022-03-14,973226.4936310435
2022-03-15,973226.4936310435
2022-03-16,973226.4936310435
2022-03-23,973069.0473163552
2022-04-19,989766.4091937966
2022-04-25,982957.8838336891
2022-04-27,978550.452527222
2022-04-29,978550.452527222
2022-05-02,978550.452527222
2022-05-04,978550.452527222
2022-05-05,978550.452527222
2022-05-06,978550.452527222
2022-05-09,978550.452527222
2022-05-10,978550.452527222
2022-05-11,978550.452527222
2022-05-12,978550.452527222
2022-05-13,978550.452527222
2022-05-16,978550.452527222
2022-05-17,978550.452527222
2022-05-18,978550.452527222
2022-05-19,978550.452527222
2022-05-20,978550.452527222
2022-05-23,978550.452527222
2022-05-24,978550.452527222
2022-05-25,978550.452527222
2022-05-26,978550.452527222
2022-05-27,978550.452527222
2022-05-30,978550.452527222
2022-05-31,978550.452527222
2022-06-01,978550.452527222
2022-06-02,978550.452527222
2022-06-03,978550.452527222
2022-06-06,978550.452527222
2022-06-07,978550.452527222
2022-06-08,978550.452527222
2022-06-09,978550.452527222
2022-06-10,978550.452527222
2022-06-13,978550.452527222
2022-06-14,978550.452527222
2022-06-15,978550.452527222
2022-06-16,978550.452527222
2022-06-17,978550.452527222
2022-06-20,978550.452527222
2022-06-21,978550.452527222
