Date,PortfolioValue
2025-01-23,1000000.0
2025-01-24,1000000.0
2025-01-27,1000000.0
2025-01-28,1000000.0
2025-01-29,1000000.0
2025-01-30,1000000.0
2025-01-31,1000000.0
2025-02-03,1000000.0
2025-02-04,1000000.0
2025-02-05,1000000.0
2025-02-06,1000000.0
2025-02-07,1000000.0
2025-02-10,1000000.0
2025-02-11,1000000.0
2025-02-12,1000000.0
2025-02-13,1000000.0
2025-02-14,1000000.0
2025-02-17,1000000.0
2025-02-18,1000000.0
2025-02-19,1000000.0
2025-02-20,1000000.0
2025-02-21,1000000.0
2025-02-24,1000000.0
2025-02-25,1000000.0
2025-02-26,1000000.0
2025-02-27,1000000.0
2025-02-28,1000000.0
2025-03-03,1000000.0
2025-03-04,1000000.0
2025-03-05,1000000.0
2025-03-06,1000000.0
2025-03-07,1000000.0
2025-03-10,1000000.0
2025-03-11,1000000.0
2025-03-12,1000000.0
2025-03-13,1000000.0
2025-03-14,1000000.0
2025-03-17,1000000.0
2025-03-18,1000000.0
2025-03-19,1000000.0
2025-03-20,1000000.0
2025-03-21,1000000.0
2025-03-24,1000000.0
2025-03-25,1000000.0
2025-03-26,1000000.0
2025-03-27,1000000.0
2025-03-28,1000000.0
2025-03-31,1000000.0
2025-04-01,1000000.0
2025-04-02,1000000.0
2025-04-03,1000000.0
2025-04-04,1000000.0
2025-04-07,1000000.0
2025-04-08,1000000.0
2025-04-09,1000000.0
2025-04-10,1000000.0
2025-04-11,1000000.0
2025-04-14,1000000.0
2025-04-15,1000000.0
2025-04-16,1000000.0
2025-04-17,1000000.0
2025-04-21,1000000.0
2025-04-22,1000000.0
2025-04-23,1000000.0
2025-04-24,1000000.0
2025-04-25,1000000.0
2025-04-28,1000000.0
2025-04-29,1000000.0
2025-04-30,1000000.0
2025-05-01,1000000.0
2025-05-02,1000000.0
2025-05-05,1000000.0
2025-05-06,1000000.0
2025-05-07,1000000.0
2025-05-08,1000000.0
2025-05-09,1000000.0
2025-05-12,1000000.0000000001
2025-05-13,801607.7000000001
2025-05-14,802887.7000000001
2025-05-15,815194.3
2025-05-16,834591.5
2025-05-19,824634.3000000002
2025-05-20,806035.5000000001
2025-05-21,816377.9
2025-05-22,819075.3000000002
2025-05-23,817192.1000000002
2025-05-26,827835.3000000002
2025-05-27,829085.1
2025-05-28,830252.3000000002
2025-05-29,633112.2999999999
2025-05-30,612635.3
2025-06-02,611792.5
2025-06-03,612018.1000000001
2025-06-04,609983.9
2025-06-05,612849.3
2025-06-06,619558.9
2025-06-09,625650.8999999999
2025-06-10,630123.1000000001
2025-06-11,626050.7
2025-06-12,611680.7
2025-06-13,614674.3
2025-06-16,616066.1
2025-06-17,621781.1000000001
2025-06-18,617884.5
2025-06-19,608674.1
2025-06-20,616328.3
2025-06-23,633204.1000000001
2025-06-24,630639.9
2025-06-25,635584.0999999999
2025-06-26,637445.5
2025-06-27,661680.5
2025-06-30,656495.1000000001
2025-07-01,649021.5
2025-07-02,633019.5
2025-07-03,636365.5
2025-07-04,639164.3
2025-07-07,634590.7
2025-07-08,632720.1
2025-07-09,635370.5
2025-07-10,630664.5
2025-07-11,627384.3
2025-07-14,626778.5
2025-07-15,625086.3
2025-07-16,622060.1
2025-07-17,616584.1
2025-07-18,609116.3
2025-07-21,603395.8999999999
2025-07-22,609615.5
2025-07-23,606115.1
2025-07-24,604859.8999999999
2025-07-25,593731.9
2025-07-28,587699.3
2025-07-29,580659.7
2025-07-30,574687.5
2025-07-31,572826.7
2025-08-01,539799.6000000001
2025-08-04,524346.5
2025-08-05,525350.7
2025-08-06,516631.5
2025-08-07,516061.30000000005
2025-08-08,503671.0
2025-08-11,511502.69999999995
2025-08-12,515035.4
2025-08-13,522216.0
2025-08-14,517110.69999999995
2025-08-15,511502.69999999995
2025-08-18,524367.5
2025-08-19,532240.1000000001
2025-08-20,531357.6000000001
2025-08-21,531215.2000000001
2025-08-22,521957.80000000005
2025-08-25,529338.7999999999
2025-08-26,513885.70000000007
2025-08-27,531215.2000000001
2025-08-28,504279.6
2025-08-29,500055.5
2025-09-01,508408.80000000005
2025-09-02,516076.80000000005
2025-09-03,521038.4
2025-09-04,520073.5
2025-09-05,515300.5
2025-09-08,516328.0
2025-09-09,513309.5
2025-09-10,523875.5
2025-09-11,522273.4
2025-09-12,537338.6
2025-09-15,539262.1000000001
2025-09-16,541310.2
2025-09-17,548992.2999999999
2025-09-18,549837.7
2025-09-19,549700.8
2025-09-22,543429.6000000001
2025-09-23,546319.4
2025-09-24,544678.9
2025-09-25,546821.4
2025-09-26,532648.9
2025-09-29,533907.2
2025-09-30,529472.2999999999
2025-10-01,537714.1
2025-10-02,532648.9
2025-10-03,543891.2
2025-10-06,549725.6000000001
2025-10-07,547189.9
2025-10-08,342681.20000000007
2025-10-09,342037.30000000005
2025-10-10,337348.30000000005
2025-10-13,336062.4
2025-10-14,332472.10000000003
2025-10-15,334079.2
2025-10-16,334868.7
2025-10-17,332980.80000000005
2025-10-20,339344.60000000003
2025-10-21,342593.9
2025-10-22,334868.7
2025-10-23,341797.10000000003
2025-10-24,343416.5
2025-10-27,348805.10000000003
2025-10-28,352892.9
2025-10-29,356490.4
2025-10-30,355205.0
2025-10-31,349916.9
2025-11-03,354719.30000000005
2025-11-04,358630.4
2025-11-05,355205.0
2025-11-06,353169.0
2025-11-07,349798.60000000003
2025-11-10,350532.20000000007
2025-11-11,344456.5
2025-11-12,344603.6
2025-11-13,349119.4
2025-11-14,347006.30000000005
2025-11-17,375951.2
2025-11-18,370060.30000000005
2025-11-19,372410.4
2025-11-20,374630.4
2025-11-21,374198.2
2025-11-24,363850.10000000003
