Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%),Reason
VIYASH,2021-06-29,294.5529161079019,2021-07-02,283.23,-3.84,ATR Trailing Stop
MOTILALOFS,2021-07-05,799.6924265443521,2021-08-02,915.43,14.47,ATR Trailing Stop
POWERINDIA,2021-07-01,1914.6210228465955,2021-08-10,1794.33,-6.28,ATR Hard Stop
STLTECH,2021-07-02,274.35924877840205,2021-08-11,277.75,1.24,ATR Trailing Stop
STYRENIX,2021-08-03,925.9404220718907,2021-08-10,872.19,-5.8,ATR Hard Stop
CERA,2021-08-02,4382.14982945812,2021-09-02,4123.46,-5.9,ATR Hard Stop
ICICIPRULI,2021-09-03,676.350080227428,2021-09-28,660.33,-2.37,ATR Trailing Stop
CARBORUNIV,2021-06-29,598.656524306928,2021-10-21,816.49,36.39,ATR Trailing Stop
OIL,2021-08-13,86.29268283987774,2021-10-21,122.52,41.98,ATR Trailing Stop
ZYDUSWELL,2021-08-27,455.1641867824545,2021-10-21,444.43,-2.36,ATR Trailing Stop
JUBLFOOD,2021-10-13,856.781095606331,2021-10-20,803.5,-6.22,ATR Hard Stop
M&M,2021-11-10,873.9529796548975,2021-11-26,853.79,-2.31,ATR Trailing Stop
ARVIND,2021-09-09,93.16822818350063,2021-11-29,104.98,12.68,ATR Trailing Stop
CHOLAHLDNG,2021-11-18,710.4785135246216,2021-11-26,671.3,-5.51,ATR Hard Stop
BAJAJHLDNG,2021-11-29,4771.943113450344,2021-12-20,4703.87,-1.43,ATR Trailing Stop
RCF,2021-12-16,72.23273457480094,2021-12-20,67.41,-6.68,ATR Hard Stop
SUBROS,2022-01-07,389.90945830577436,2022-01-19,363.71,-6.72,ATR Hard Stop
GLAXO,2022-01-11,1546.111835806219,2022-01-19,1469.93,-4.93,ATR Hard Stop
MSTCLTD,2022-01-06,288.6980337236085,2022-01-24,266.88,-7.56,ATR Hard Stop
BIRLACORPN,2022-01-13,1472.247347446199,2022-01-24,1360.02,-7.62,ATR Hard Stop
HINDZINC,2022-01-24,224.3733140706523,2022-01-24,215.49,-3.96,ATR Hard Stop
DIACABS,2022-02-15,18.0,2022-02-21,17.79,-1.19,ATR Hard Stop
COALINDIA,2022-02-10,121.1027576594716,2022-02-24,114.21,-5.69,ATR Hard Stop
VOLTAMP,2022-04-08,1989.5041485810773,2022-04-18,1858.02,-6.61,ATR Hard Stop
MOTILALOFS,2022-04-29,889.6657062500785,2022-05-09,832.27,-6.45,ATR Hard Stop
COLPAL,2022-06-01,1489.4409303801415,2022-06-06,1411.74,-5.22,ATR Hard Stop
PAGEIND,2022-05-30,42377.82254179243,2022-06-07,39319.19,-7.22,ATR Hard Stop
NTPC,2022-06-01,137.95120559982314,2022-06-16,128.74,-6.67,ATR Hard Stop
TITAGARH,2022-06-10,104.85095986723512,2022-06-20,95.51,-8.91,ATR Hard Stop
WELCORP,2022-08-01,220.12333474213924,2022-08-05,204.91,-6.91,ATR Hard Stop
PVRINOX,2022-07-22,1950.0,2022-08-16,2005.1,2.83,ATR Trailing Stop
BLUEDART,2022-09-02,8697.92000718742,2022-09-16,8254.21,-5.1,ATR Hard Stop
PFC,2022-09-07,77.81935205798877,2022-09-22,74.69,-4.02,ATR Hard Stop
RCF,2022-09-19,96.89643405836954,2022-09-26,90.21,-6.9,ATR Hard Stop
LINDEINDIA,2022-09-22,3482.6264404734006,2022-09-26,3286.62,-5.63,ATR Hard Stop
ERIS,2022-09-29,701.8773369954314,2022-11-21,674.04,-3.97,ATR Trailing Stop
KPITTECH,2022-11-24,720.61653187941,2022-12-12,674.51,-6.4,ATR Hard Stop
YESBANK,2022-12-05,17.600000381469727,2022-12-19,21.5,22.16,ATR Trailing Stop
CASTROLIND,2022-10-11,96.74655262270255,2022-12-22,105.16,8.7,ATR Trailing Stop
EIDPARRY,2022-12-19,590.4489144713426,2022-12-21,562.06,-4.81,ATR Hard Stop
JMFINANCIL,2022-11-28,67.63109173160969,2022-12-23,67.08,-0.82,ATR Trailing Stop
CGCL,2022-12-23,714.8227870288235,2023-02-21,693.66,-2.96,ATR Trailing Stop
360ONE,2022-09-06,387.9219629426112,2023-02-23,421.66,8.7,ATR Trailing Stop
ASHOKLEY,2023-02-03,69.66110908538475,2023-02-22,65.91,-5.39,ATR Hard Stop
RADICO,2023-04-03,1193.2062586216043,2023-04-10,1121.49,-6.01,ATR Hard Stop
ABB,2023-03-31,3324.220421522479,2023-04-12,3155.4,-5.08,ATR Hard Stop
CCL,2023-03-02,554.2955951477435,2023-05-04,558.51,0.76,ATR Trailing Stop
NAVINFLUOR,2023-03-22,4187.53465272846,2023-05-22,4513.0,7.77,ATR Trailing Stop
IONEXCHANG,2023-04-21,338.20013001112363,2023-06-21,386.99,14.43,ATR Trailing Stop
LINDEINDIA,2023-05-25,3994.90925495108,2023-06-21,4334.89,8.51,ATR Trailing Stop
CHALET,2023-04-18,362.3984917929932,2023-06-26,411.49,13.55,ATR Trailing Stop
BPCL,2023-06-01,153.83261951190343,2023-06-26,152.38,-0.94,ATR Trailing Stop
RELIGARE,2023-06-21,171.6999969482422,2023-07-31,165.25,-3.76,ATR Trailing Stop
BIRLACORPN,2023-08-01,1227.1835962016798,2023-08-11,1161.36,-5.36,ATR Hard Stop
BAJAJELEC,2023-05-24,1127.2992927812325,2023-08-16,1100.49,-2.38,ATR Trailing Stop
ITI,2023-07-19,111.0999984741211,2023-08-21,113.35,2.03,ATR Trailing Stop
TRITURBINE,2023-08-03,391.07604931251154,2023-08-18,370.49,-5.26,ATR Hard Stop
RELAXO,2023-08-14,945.0294394394483,2023-08-31,905.8,-4.15,ATR Hard Stop
VTL,2023-08-21,356.90510390589225,2023-09-13,369.1,3.42,ATR Trailing Stop
EXIDEIND,2023-05-09,186.8009735639267,2023-09-21,259.52,38.93,ATR Trailing Stop
BRIGADE,2023-05-26,405.5112030085123,2023-09-21,436.94,7.75,ATR Trailing Stop
MOIL,2023-08-03,178.94750259912882,2023-09-22,206.18,15.22,ATR Trailing Stop
MOTHERSON,2023-08-14,64.57806942456318,2023-09-22,63.36,-1.88,ATR Trailing Stop
STARHEALTH,2023-09-01,639.0,2023-09-21,603.93,-5.49,ATR Hard Stop
HOMEFIRST,2023-08-18,857.4737599073511,2023-09-29,799.5,-6.76,ATR Hard Stop
KEC,2023-09-14,682.4095984677662,2023-10-13,637.8,-6.54,ATR Trailing Stop
CSBBANK,2023-06-27,283.3500061035156,2023-10-25,333.0,17.52,ATR Trailing Stop
IDBI,2023-09-05,63.269153774352766,2023-10-23,59.91,-5.31,ATR Hard Stop
CAMS,2023-10-13,489.26235813871034,2023-10-23,463.08,-5.35,ATR Hard Stop
RITES,2023-10-16,234.20090577409337,2023-10-23,220.93,-5.67,ATR Hard Stop
MEDANTA,2023-09-29,717.8916394421659,2023-10-26,724.74,0.95,ATR Trailing Stop
CHALET,2023-10-04,569.2693792877891,2023-10-26,573.36,0.72,ATR Trailing Stop
NIACL,2023-08-23,127.93268760887386,2023-10-27,132.64,3.68,ATR Trailing Stop
HDFCAMC,2023-09-01,1165.4758450437635,2023-10-27,1289.26,10.62,ATR Trailing Stop
BALKRISIND,2023-10-25,2525.5103249613007,2023-11-21,2466.2,-2.35,ATR Trailing Stop
HCG,2023-11-01,372.1000061035156,2024-01-23,350.11,-5.91,ATR Hard Stop
GMRAIRPORT,2023-11-13,58.29999923706055,2024-01-24,75.5,29.5,ATR Trailing Stop
MCX,2023-09-22,350.79635337365187,2024-02-14,675.19,92.47,ATR Trailing Stop
ACI,2024-02-08,615.306108435677,2024-03-05,716.94,16.52,ATR Trailing Stop
CONCORDBIO,2024-02-26,1479.1344044059838,2024-03-06,1369.06,-7.44,ATR Hard Stop
SWANCORP,2023-12-06,459.5778747700508,2024-03-12,669.6,45.7,ATR Trailing Stop
FINPIPE,2024-03-11,227.168615061069,2024-03-12,213.34,-6.09,ATR Hard Stop
SUNDARMFIN,2023-11-30,3315.1989255155136,2024-03-14,3867.27,16.65,ATR Trailing Stop
ACC,2024-01-29,2488.3785083538933,2024-03-13,2334.35,-6.19,ATR Hard Stop
BHEL,2024-03-01,229.32507711589565,2024-03-14,224.14,-2.26,ATR Trailing Stop
HAVELLS,2024-04-03,1522.9063432473324,2024-04-19,1437.48,-5.61,ATR Hard Stop
TORNTPOWER,2023-11-01,700.2695339596753,2024-05-08,1333.05,90.36,ATR Trailing Stop
LEMONTREE,2024-04-29,146.5,2024-05-13,143.05,-2.35,ATR Trailing Stop
DELHIVERY,2024-04-15,463.04998779296875,2024-05-21,431.39,-6.84,ATR Hard Stop
QUESS,2024-05-13,607.6326339756376,2024-05-21,570.18,-6.16,ATR Hard Stop
JLHL,2024-05-14,1284.9909506075999,2024-05-21,1193.97,-7.08,ATR Hard Stop
VBL,2024-05-14,596.4748769244233,2024-05-31,559.87,-6.14,ATR Hard Stop
SPLPETRO,2024-04-26,680.9797447652787,2024-06-04,624.87,-8.24,ATR Hard Stop
MUTHOOTFIN,2024-06-03,1667.3244041727623,2024-06-04,1579.68,-5.26,ATR Hard Stop
UTIAMC,2024-06-05,862.7573304129508,2024-07-22,958.64,11.11,ATR Trailing Stop
IREDA,2024-06-24,190.9873390832995,2024-08-06,242.71,27.08,ATR Trailing Stop
SAREGAMA,2024-07-29,536.1340976243104,2024-08-05,495.53,-7.57,ATR Hard Stop
MARICO,2024-08-06,661.8525320704058,2024-08-06,627.42,-5.2,ATR Hard Stop
SUNTV,2024-05-29,629.3468066272043,2024-08-13,771.22,22.54,ATR Trailing Stop
AIAENG,2024-07-22,4228.039197389587,2024-08-30,4310.46,1.95,ATR Trailing Stop
GLAXO,2024-07-24,2602.5607739884094,2024-08-30,2669.64,2.58,ATR Trailing Stop
CERA,2024-08-06,9806.350221451106,2024-08-30,9459.71,-3.53,ATR Trailing Stop
IREDA,2024-08-23,259.5736895109845,2024-08-30,237.15,-8.64,ATR Hard Stop
IFCI,2024-08-29,77.30000305175781,2024-09-09,70.07,-9.36,ATR Hard Stop
GODREJAGRO,2024-09-03,805.2996236850627,2024-09-09,752.73,-6.53,ATR Hard Stop
SRF,2024-09-02,2568.6303908281957,2024-09-12,2488.08,-3.14,ATR Trailing Stop
JYOTHYLAB,2024-09-12,574.9958863191301,2024-09-17,536.52,-6.69,ATR Hard Stop
KNRCON,2024-09-05,350.34852460623085,2024-09-18,330.07,-5.79,ATR Hard Stop
ATUL,2024-09-11,8023.184439046252,2024-09-18,7668.57,-4.42,ATR Hard Stop
JLHL,2024-09-03,1350.2128538649338,2024-09-20,1267.8,-6.1,ATR Hard Stop
CROMPTON,2024-07-10,422.7367706781936,2024-09-25,438.1,3.63,ATR Trailing Stop
POLICYBZR,2024-08-08,1510.0,2024-09-26,1722.0,14.04,ATR Trailing Stop
NAZARA,2024-09-12,245.0,2024-09-30,246.2,0.49,ATR Trailing Stop
M&MFIN,2024-08-23,306.09587298711057,2024-10-07,295.66,-3.41,ATR Trailing Stop
BRITANNIA,2024-08-06,5650.499820012115,2024-10-08,6058.31,7.22,ATR Trailing Stop
WELCORP,2024-09-25,715.7888607649064,2024-10-08,670.33,-6.35,ATR Trailing Stop
DEEPAKNTR,2024-09-30,2887.052425693358,2024-10-07,2763.47,-4.28,ATR Hard Stop
SIGNATURE,2024-09-23,1535.0,2024-10-11,1509.85,-1.64,ATR Trailing Stop
IGL,2024-09-18,263.6037396853294,2024-10-14,247.86,-5.97,ATR Hard Stop
NESCO,2024-10-16,971.3110242686446,2024-10-22,905.09,-6.82,ATR Hard Stop
PAGEIND,2024-09-12,40687.52664094386,2024-10-24,41888.23,2.95,ATR Trailing Stop
VOLTAS,2024-10-17,1872.532034251316,2024-10-23,1770.1,-5.47,ATR Hard Stop
VMART,2024-09-20,905.0125122070312,2024-11-12,930.3,2.79,ATR Trailing Stop
PRSMJOHNSN,2024-11-29,194.14999389648438,2024-12-19,182.24,-6.13,ATR Hard Stop
CUB,2024-10-23,121.8519685404522,2024-12-23,131.67,8.06,ATR Trailing Stop
HDFCBANK,2024-11-26,892.9302818593218,2024-12-23,879.12,-1.55,ATR Trailing Stop
HCG,2024-10-07,428.45001220703125,2024-12-24,479.0,11.8,ATR Trailing Stop
RAMCOCEM,2024-10-30,866.504849274666,2024-12-27,976.32,12.67,ATR Trailing Stop
ASHOKLEY,2025-01-03,113.23701689735051,2025-01-08,107.18,-5.35,ATR Hard Stop
SUMICHEM,2024-12-31,533.5143913553832,2025-01-09,498.16,-6.63,ATR Hard Stop
JUBLFOOD,2024-12-30,707.2170228218255,2025-01-14,706.97,-0.04,ATR Trailing Stop
ABBOTINDIA,2024-12-30,28749.58843689971,2025-01-15,27980.3,-2.68,ATR Trailing Stop
TCS,2025-01-13,3975.160158715583,2025-02-11,3790.62,-4.64,ATR Hard Stop
JLHL,2025-01-15,1547.7794079442504,2025-02-11,1455.67,-5.95,ATR Hard Stop
NUVOCO,2025-01-24,350.5,2025-02-12,327.86,-6.46,ATR Hard Stop
HCG,2025-01-14,488.04998779296875,2025-02-20,477.0,-2.26,ATR Trailing Stop
AEGISLOG,2025-05-09,767.8000413232331,2025-05-26,827.17,7.73,ATR Trailing Stop
SUNDARMFIN,2025-05-27,5343.0517864545645,2025-05-28,4947.01,-7.41,ATR Hard Stop
SHREECEM,2025-05-15,30842.205334394905,2025-05-30,29342.25,-4.86,ATR Hard Stop
PIDILITIND,2025-06-02,1551.3535388858668,2025-06-09,1498.52,-3.41,ATR Hard Stop
SAREGAMA,2025-06-05,566.8453540344142,2025-06-13,532.83,-6.0,ATR Hard Stop
PREMIERENE,2025-06-11,1084.3963989950082,2025-06-13,1014.64,-6.43,ATR Hard Stop
IOC,2025-06-12,135.69466520222304,2025-06-13,131.09,-3.39,ATR Hard Stop
NH,2025-05-27,1777.4138572081974,2025-07-03,1984.53,11.65,ATR Trailing Stop
TITAN,2025-06-23,3469.7579070666457,2025-07-09,3441.3,-0.82,ATR Trailing Stop
SURYAROSNI,2025-06-26,338.7850175113955,2025-07-14,314.75,-7.09,ATR Hard Stop
ZENSARTECH,2025-07-03,836.8156060332672,2025-07-23,788.75,-5.74,ATR Hard Stop
LTF,2025-07-22,209.83954867069264,2025-07-25,198.99,-5.17,ATR Hard Stop
RAINBOW,2025-07-25,1620.0,2025-07-28,1534.81,-5.26,ATR Hard Stop
INDIANB,2025-07-25,639.1836807325296,2025-07-28,611.35,-4.35,ATR Hard Stop
MAHABANK,2025-07-01,55.53592902826465,2025-08-04,52.65,-5.19,ATR Trailing Stop
CHALET,2025-07-18,921.2293942886938,2025-08-01,867.9,-5.79,ATR Hard Stop
SPLPETRO,2025-08-04,842.1960107581151,2025-08-06,797.67,-5.29,ATR Hard Stop
JKCEMENT,2025-05-27,5266.322235730229,2025-08-25,6841.0,29.9,ATR Trailing Stop
LICI,2025-08-11,457.0,2025-08-28,438.98,-3.94,ATR Hard Stop
NYKAA,2025-08-14,214.80999755859375,2025-09-29,230.0,7.07,ATR Trailing Stop
JSL,2025-07-30,679.3477695417977,2025-09-30,739.38,8.84,ATR Trailing Stop
KSB,2025-08-28,830.8961234111301,2025-09-30,805.32,-3.08,ATR Trailing Stop
ZYDUSWELL,2025-07-31,405.0,2025-10-01,458.35,13.17,ATR Trailing Stop
ECLERX,2025-07-14,1737.065413375209,2025-10-03,1994.9,14.84,ATR Trailing Stop
JBCHEPHARM,2025-09-30,1697.475324260656,2025-10-06,1634.67,-3.7,ATR Hard Stop
CENTURYPLY,2025-10-09,802.0,2025-10-13,760.94,-5.12,ATR Hard Stop
SAIL,2025-10-10,136.5,2025-10-13,129.06,-5.45,ATR Hard Stop
UTIAMC,2025-10-14,1369.0999755859375,2025-10-20,1292.84,-5.57,ATR Hard Stop
FORTIS,2025-09-30,972.0,2025-11-03,1024.0,5.35,ATR Trailing Stop
BEL,2025-11-03,426.1856451609873,2025-11-06,410.55,-3.67,ATR Hard Stop
DATAMATICS,2025-10-24,905.0,2025-11-10,886.9,-2.0,ATR Trailing Stop
DOMS,2025-10-08,2590.0,2025-11-10,2456.84,-5.14,ATR Hard Stop
HEG,2025-10-09,518.75,2025-11-11,540.0,4.1,ATR Trailing Stop
AARTIDRUGS,2025-11-11,517.7214090876905,2025-11-11,483.4,-6.63,ATR Hard Stop
MMTC,2025-10-30,68.4000015258789,2025-11-19,64.17,-6.19,ATR Hard Stop
PNGJL,2025-11-13,671.0,2025-11-21,626.55,-6.62,ATR Hard Stop
MSUMI,2025-11-07,47.34000015258789,2025-12-01,45.9,-3.04,ATR Trailing Stop
RBLBANK,2025-09-01,259.5561640958669,2025-12-03,302.0,16.35,ATR Trailing Stop
UNIONBANK,2025-12-03,157.33999633789062,2025-12-03,150.57,-4.3,ATR Hard Stop
AEGISVOPAK,2025-12-02,272.75,2025-12-08,256.74,-5.87,ATR Hard Stop
NYKAA,2025-11-11,259.0,2025-12-11,246.0,-5.02,ATR Trailing Stop
PTCIL,2025-11-25,17760.0,2025-12-16,17527.0,-1.31,ATR Trailing Stop
ASAHIINDIA,2025-10-17,913.75,2025-12-17,991.9,8.55,ATR Trailing Stop
DCMSHRIRAM,2025-12-12,1242.015147902976,2026-01-09,1181.12,-4.9,ATR Trailing Stop
LTF,2025-12-31,301.29791037944904,2026-01-12,296.65,-1.54,ATR Trailing Stop
NUVAMA,2025-12-19,1452.1126969977925,2026-01-13,1406.55,-3.14,ATR Trailing Stop
MINDACORP,2025-11-10,576.4153220528657,2026-01-19,558.43,-3.12,ATR Trailing Stop
BELRISE,2025-11-13,155.89999389648438,2026-01-20,166.99,7.11,ATR Trailing Stop
GRANULES,2025-11-26,548.9000244140625,2026-01-20,574.05,4.58,ATR Trailing Stop
KARURVYSYA,2025-10-09,224.0,2026-01-22,259.0,15.62,ATR Trailing Stop
MPHASIS,2026-01-19,2875.0,2026-01-21,2748.96,-4.38,ATR Hard Stop
THANGAMAYL,2025-12-18,3309.60009765625,2026-01-28,3449.5,4.23,ATR Trailing Stop
